frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
0,0.0,left,right,173.64744775494552,6.352552245054483,179.4571907073506,0.5428092926493946,-2.1834580628654163,80.43210570958185,,-5.941609400878493,,Visibilité insuffisante,0.39006713032722473
1,0.06419134140014648,left,right,173.7649736279932,6.235026372006814,179.61106067836158,0.3889393216384178,-2.243866282074942,81.17374617201905,,-5.224033059687505,,Visibilité insuffisante,0.3891429305076599
2,0.11845827102661133,left,right,173.80931721580708,6.190682784192916,179.59826134938206,0.40173865061794345,-2.2564853626508317,70.51261941045308,,-15.954921818622731,,Visibilité insuffisante,0.3918135166168213
3,0.1766033172607422,left,right,173.84753281497882,6.15246718502118,179.60002906941915,0.3999709305808494,-2.272018048999953,67.82405242329466,,-18.695469371264956,,Visibilité insuffisante,0.3943106532096863
4,0.22573351860046387,left,right,173.89915861957678,6.100841380423219,179.77408883945938,0.225911160540619,-2.2189613689067813,73.71944805749108,,-12.624583091533095,,Visibilité insuffisante,0.3905539810657501
5,0.2960231304168701,left,right,173.81706535682736,6.1829346431726435,179.73200198007245,0.26799801992754624,-2.3585912384372567,75.23045748085295,,-11.213197134339225,,Visibilité insuffisante,0.3900797367095947
6,0.35167956352233887,left,right,173.60785856743274,6.392141432567257,179.77881557538646,0.22118442461353993,-2.3850145318114224,76.74520281728873,,-9.468854706569003,,Visibilité insuffisante,0.38802170753479004
7,0.4025444984436035,left,right,173.80241875074867,6.1975812492513285,179.92585623986972,0.07414376013028345,-2.4217471853524795,77.10022796547877,,-9.198081730752632,,Visibilité insuffisante,0.3868212401866913
8,0.4560110569000244,left,right,173.93346361165484,6.066536388345156,179.96334462809625,-0.036655371903748346,-2.460022947626104,77.39224977294893,,-8.964581414428249,,Visibilité insuffisante,0.3855413794517517
9,0.5144078731536865,left,right,173.87244290629096,6.127557093709044,179.94705206885197,-0.05294793114802587,-2.50335374017371,77.69024251924917,,-8.632606196067453,,Visibilité insuffisante,0.38403457403182983
10,0.5664474964141846,left,right,173.80956232467545,6.190437675324546,179.9756417483806,-0.024358251619389648,-2.507463746227551,80.13577467234468,,-6.156893146938953,,Visibilité insuffisante,0.3849266767501831
