rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,descent_duration_s,ascent_duration_s,peak_knee_flexion_deg,peak_prominence_deg,boundary_threshold_deg,quality_percent,interpolated_percent
1,45,65,80,2.074,3.014,3.738,1.664,0.94,0.724,86.93,85.16,8.69,100.0,0.0
2,90,109,125,4.177,5.016,5.758,1.581,0.839,0.742,83.8,82.03,8.38,100.0,0.0
3,136,158,174,6.221,7.203,7.899,1.677,0.981,0.696,86.61,87.05,8.66,100.0,0.0
4,185,202,219,8.437,9.288,10.063,1.626,0.85,0.776,87.05,87.52,8.7,100.0,0.0
5,231,250,268,10.586,11.449,12.263,1.676,0.863,0.813,87.64,88.11,8.76,100.0,0.0
6,281,300,317,12.824,13.649,14.412,1.588,0.825,0.764,88.98,89.45,8.9,100.0,0.0
