frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility,quality_valid,knee_flexion_relative_deg,hip_flexion_relative_deg,trunk_flexion_relative_deg,knee_flexion_interpolated_deg,knee_flexion_filtered_deg,knee_flexion_was_interpolated,hip_flexion_interpolated_deg,hip_flexion_filtered_deg,hip_flexion_was_interpolated,trunk_flexion_interpolated_deg,trunk_flexion_filtered_deg,trunk_flexion_was_interpolated,ankle_dorsiflexion_interpolated_deg,ankle_dorsiflexion_filtered_deg,ankle_dorsiflexion_was_interpolated,foot_inclination_interpolated_deg,foot_inclination_filtered_deg,foot_inclination_was_interpolated,any_signal_was_interpolated,knee_angular_velocity_deg_s,signal_processing_valid
10,0.5178530216217041,left,left,178.7175427493151,1.2824572506848995,177.01704911023378,-2.982950889766215,-3.0886491423067017,90.22307229414744,0.05963488130076655,1.399831292291852,-0.4439471857778585,OK,0.8669918775558472,heel,0.9999956488609314,0.9989500641822815,0.9215031862258911,0.8868016600608826,0.8669918775558472,0.8680248260498047,True,-0.6668866771375097,-0.3676881312360658,-0.08511375857564163,-0.6668866771375097,-0.7052883788898132,False,-0.3676881312360658,-0.3721499631827223,False,-0.08511375857564163,-0.04710225804424528,False,0.05963488130076655,-0.05699553157071193,False,-0.4439471857778585,-0.3232451421806218,False,False,-0.18637732718055897,True
11,0.564500093460083,left,left,178.7996427354623,1.2003572645377005,176.955791400292,-3.044208599708014,-3.1071244272521703,90.34163778470072,-0.05893060925251348,1.4790792216943052,-0.3646992563754168,OK,0.8681057095527649,heel,0.9999957084655762,0.9989470839500427,0.9209614396095276,0.8882131576538086,0.8681057095527649,0.8697434663772583,True,-0.7489866632847086,-0.42894584117786483,-0.1035890435211102,-0.7489866632847086,-0.7335441225416479,False,-0.42894584117786483,-0.39785792689890603,False,-0.1035890435211102,-0.07705072323793286,False,-0.05893060925251348,0.01609492088579998,False,-0.3646992563754168,-0.4288318397664739,False,False,-0.1412336672702434,True
12,0.6088166236877441,left,left,178.8661441090853,1.1338558909147025,176.89298788231022,-3.107012117689777,-3.1267371924567895,90.45043144069288,-0.1677242652446722,1.564562256840575,-0.2792162212291487,OK,0.8687920570373535,heel,0.999995768070221,0.9989425539970398,0.9202205538749695,0.8892233371734619,0.8687920570373535,0.8710681200027466,True,-0.8154880369077067,-0.4917493591596278,-0.12320180872572939,-0.8154880369077067,-0.7364110355671674,False,-0.4917493591596278,-0.40672592569215543,False,-0.12320180872572939,-0.09506510180718548,False,-0.1677242652446722,0.049947890656864044,False,-0.2792162212291487,-0.47469810233906173,False,False,-0.02360466440157758,True
13,0.6473755836486816,left,left,178.8313244919243,1.1686755080756939,177.00661328723027,-2.993386712769734,-3.066507832595503,90.03668465512362,0.24602252032458694,1.1322390433735658,-0.7115394346961637,OK,0.8710046410560608,heel,0.999995768070221,0.9989340901374817,0.9204840064048767,0.8910593390464783,0.8710046410560608,0.8733034729957581,True,-0.7806684197467153,-0.37812395423958467,-0.06297244886444275,-0.7806684197467153,-0.726950279667543,False,-0.37812395423958467,-0.40856550356724686,False,-0.06297244886444275,-0.10420980804224911,False,0.24602252032458694,0.04399630000691559,False,-0.7115394346961637,-0.4665908841494627,False,False,0.1843399591917912,True
14,0.6952717304229736,left,left,178.7206814529368,1.2793185470632125,177.01761489882222,-2.9823851011777833,-3.1039838330800635,90.11197024929206,0.17073692615615244,1.2696900644530018,-0.574088413616721,OK,0.8729334473609924,heel,0.9999956488609314,0.9989163875579834,0.9217043519020081,0.8919836282730103,0.8729334473609924,0.8744624257087708,True,-0.6700253807591967,-0.367122342647634,-0.10044844934900343,-0.6700253807591967,-0.7077977853052377,False,-0.367122342647634,-0.4199860908833509,False,-0.10044844934900343,-0.127402379795409,False,0.17073692615615244,0.08770596689987258,False,-0.574088413616721,-0.50292004111717,False,False,0.3301689507954448,True
15,0.7516293525695801,left,left,178.67023896981698,1.3297610301830218,177.00785122085833,-2.9921487791416723,-3.13437267348202,90.25283024739718,0.029876928051024265,1.4403673832398445,-0.40341109482986326,OK,0.8748263716697693,heel,0.9999955296516418,0.9988998174667358,0.9230175018310547,0.8930378556251526,0.8748263716697693,0.8757032155990601,True,-0.6195828976393873,-0.376886020611523,-0.13083728975095976,-0.6195828976393873,-0.6903375779456813,False,-0.376886020611523,-0.44243302254465194,False,-0.13083728975095976,-0.16893961610289318,False,0.029876928051024265,0.13876533810418437,False,-0.40341109482986326,-0.5556095096081037,False,False,0.43330632557463067,True
16,0.7913527488708496,left,left,178.70388026365077,1.296119736349226,176.89868846371147,-3.1013115362885344,-3.22308728601797,90.12308945023594,0.15961772521227147,1.297433436855757,-0.5463450412139537,OK,0.8760835528373718,foot_index,0.9999955892562866,0.9988909363746643,0.9231482148170471,0.8933413624763489,0.8762308955192566,0.8760835528373718,True,-0.6532241914731831,-0.48604877775838506,-0.21955190228690968,-0.6532241914731831,-0.6667688361170381,False,-0.48604877775838506,-0.4757713887640998,False,-0.21955190228690968,-0.211576829526257,False,0.15961772521227147,0.20528150466032002,False,-0.5463450412139537,-0.6078557815395129,False,False,0.4252199671786524,True
17,0.8419668674468994,left,left,178.77884307228751,1.2211569277124852,176.78075322400372,-3.2192467759962824,-3.3344233739942104,90.19513458467132,0.08757259077688673,1.3011149143858933,-0.5426635636838171,OK,0.8753546476364136,foot_index,0.9999956488609314,0.9988861680030823,0.9233748316764832,0.8927343487739563,0.876691460609436,0.8753546476364136,True,-0.728187000109924,-0.6039840174661331,-0.3308879902631503,-0.728187000109924,-0.6588913146753475,False,-0.6039840174661331,-0.4972033910231014,False,-0.3308879902631503,-0.23264344246719215,False,0.08757259077688673,0.30882537445825164,False,-0.5426635636838171,-0.7031567405776912,False,False,0.18892621330652518,True
18,0.8917930126190186,left,left,178.7134807827811,1.2865192172189097,176.83992145613303,-3.160078543866973,-3.279693899712322,89.70410382234294,0.5786033531052652,0.871007683716509,-0.9727707943532096,OK,0.8742698431015015,heel,0.9999958872795105,0.9988651871681213,0.9168827533721924,0.8920310139656067,0.8742698431015015,0.8755322098731995,True,-0.6628247106034995,-0.5448157853368238,-0.27615851598126184,-0.6628247106034995,-0.6055393715061743,False,-0.5448157853368238,-0.47319131959107585,False,-0.27615851598126184,-0.23552258649824465,False,0.5786033531052652,0.2923511216461776,False,-0.9727707943532096,-0.6602217600595225,False,False,-0.2711180389236258,True
19,0.9410135746002197,left,left,178.68129384572833,1.3187061542716663,176.9104548875272,-3.0895451124727913,-3.2093168977847393,89.5942509003024,0.6884562751458105,0.793185269262104,-1.0505932088076122,OK,0.8730847835540771,heel,0.9999960660934448,0.9988543391227722,0.9114006161689758,0.8920527100563049,0.8730847835540771,0.8763412237167358,True,-0.6306377735507429,-0.47428235394264195,-0.20578151405367917,-0.6306377735507429,-0.6308089206123871,False,-0.47428235394264195,-0.4572288816914645,False,-0.20578151405367917,-0.23049674158359953,False,0.6884562751458105,0.2404954585070868,False,-1.0505932088076122,-0.6445722390116145,False,False,-0.7932589299816748,True
20,0.9872562885284424,left,left,178.4034792539711,1.5965207460288866,177.12791157801846,-2.8720884219815446,-3.1487683936372823,90.33520151145756,-0.05249433600934594,1.655042285830709,-0.18873619223901983,OK,0.8744329810142517,heel,0.9999961853027344,0.9988422393798828,0.9091339111328125,0.8943033814430237,0.8744329810142517,0.879139244556427,True,-0.35282318179352257,-0.25682566345139524,-0.14523300990622223,-0.35282318179352257,-0.6823148750939172,False,-0.25682566345139524,-0.4439002492910058,False,-0.14523300990622223,-0.21598129276765815,False,-0.05249433600934594,0.16927017452272253,False,-0.18873619223901983,-0.6236660930932999,False,False,-1.4278668317722203,True
21,1.0238313674926758,left,left,178.83022800918184,1.1697719908181625,176.97850065320952,-3.0214993467904776,-3.1979580614447443,90.38236776593139,-0.09966059048318243,1.3756810420953063,-0.4680974359744141,OK,0.8785830736160278,heel,0.9999963641166687,0.9988482594490051,0.9081969857215881,0.8981383442878723,0.8785830736160278,0.8840093612670898,True,-0.7795719370042467,-0.40623658826032827,-0.19442267771368416,-0.7795719370042467,-0.7695798184043245,False,-0.40623658826032827,-0.46236582543206256,False,-0.19442267771368416,-0.21929327202014068,False,-0.09966059048318243,-0.04109886178467263,False,-0.4680974359744141,-0.485408403207731,False,False,-1.8505478243329379,True
22,1.0775189399719238,left,left,179.03637284469517,0.9636271553048346,176.847396386006,-3.152603613993989,-3.2618461299145034,90.55126100459314,-0.26855382914493475,1.4056456439774672,-0.4381328340922437,OK,0.8815410137176514,heel,0.9999964833259583,0.998848557472229,0.9065122008323669,0.901176393032074,0.8815410137176514,0.8880102038383484,True,-0.9857167725175746,-0.5373408554638397,-0.2583107461834433,-0.9857167725175746,-0.8743453161635533,False,-0.5373408554638397,-0.4991697157459393,False,-0.2583107461834433,-0.23487308757909098,False,-0.26855382914493475,-0.33329571869554114,False,-0.4381328340922437,-0.2767529693011568,False,False,-1.6687985227112339,True
