cycle_percent,pelvis_displacement_mean,pelvis_displacement_sd,left_deviation_mean_percent,left_deviation_sd_percent,right_deviation_mean_percent,right_deviation_sd_percent,pelvis_velocity_mean,pelvis_velocity_sd
0.0,0.0,0.0,1.7309667414304672,1.690589496066138,-0.08309271904879736,1.010282711149481,0.07313140492397467,0.028520109235682996
1.0,0.0014551854355032612,0.0006623830291298521,1.9530414901723638,1.8264611062885452,0.1174779796047423,1.0991443145673148,0.07862920820500248,0.03160275845596437
2.0,0.002905796730308714,0.0013206916625637917,2.175024002554642,1.9824116379359287,0.323224505442705,1.2268523540877267,0.08411293948093715,0.03495302275149133
3.0,0.004352431714127688,0.0019681762708294364,2.39655886311781,2.154098319926673,0.538008540790519,1.3911631833506815,0.08957074764774901,0.038522241747565085
4.0,0.005964776375391101,0.002655020778648759,2.624062599146581,2.3182874602253194,0.7230813993231698,1.5324585823494201,0.09540812045141714,0.04016340240619282
5.0,0.007698139154472433,0.0033915474743235648,2.890228178022413,2.4810387563629424,0.90772203000451,1.6831085629172846,0.10159158925087645,0.04088591588046821
6.0,0.009474878067869999,0.0041566503272525935,3.1669347694609633,2.667701891719034,1.0884082146032548,1.845042880414569,0.10802318831317323,0.041433072790334584
7.0,0.01134346790743403,0.004924352126647824,3.4426475643437735,2.8663886898106714,1.2581521948125782,2.026996294513023,0.11386321438056882,0.04262655806785022
8.0,0.013398757206673977,0.0056588863457964515,3.685999350215481,3.0729879122788164,1.4057212553416782,2.2140349118045544,0.12048588917993881,0.0437423034678721
9.0,0.01554656922894097,0.006370200105990122,3.9372125021837325,3.2864368850051044,1.5726323619544658,2.4151523191711677,0.126915828895663,0.04509016055609049
10.0,0.01779496669691763,0.007189511482850077,4.237083765271139,3.573115325093377,1.7781694602805813,2.6936961964336996,0.1329878039280798,0.04556751093078018
11.0,0.02020987501751092,0.00807246731961451,4.588369626541133,3.9535073557712788,2.039001121204653,3.0350731861580096,0.13744772290139176,0.043971556550342496
12.0,0.022716968332820008,0.008881950722527983,4.9049925851167595,4.34275772865439,2.3021195376863437,3.3749414941948226,0.14145219840906492,0.04256546198623978
13.0,0.025200644199661393,0.009495074895732447,5.1602872477767,4.611689651412986,2.452328005973908,3.6992568267964647,0.14505648668276144,0.0410607784650861
14.0,0.027660942024465607,0.010044943282502734,5.391181836892834,4.851332297819279,2.5595691985173525,4.047248692835942,0.14850087382907243,0.039232309298595114
15.0,0.030201111130381902,0.010534153848349506,5.6572969874891825,5.088283439388877,2.6801279747217848,4.440537516380847,0.15110062050222864,0.03794992580074062
16.0,0.03286477249493723,0.011129530724666397,5.939628836693121,5.338305622725807,2.8365688988962194,4.772167113285959,0.1536305647321924,0.03821726050408728
17.0,0.03552361513489837,0.011740456921080803,6.225246176172082,5.5907551090527505,2.9814699350949376,5.034481836196875,0.15617277606680036,0.03993012018327276
18.0,0.03822995261078899,0.012326181937598686,6.55523139065735,5.8749369159083376,3.1761862256601403,5.325362330185064,0.1599674438661607,0.0410129220384547
19.0,0.04099500783167019,0.012852666261648396,6.888179674706926,6.156484719914485,3.3996884088009764,5.644204049231597,0.16266756575117813,0.039881164172372655
20.0,0.0437754443642114,0.013389196082482705,7.340160332662284,6.491930497706263,3.70641891256403,6.006587998986164,0.16446538161340057,0.03891963566235684
21.0,0.04657774855057082,0.013924956851479047,7.761605599896771,6.776274974932966,3.9834974982279476,6.354102964715043,0.1654506293072661,0.03845737809114986
22.0,0.04940827926120522,0.014236099229183103,8.152503600303087,7.086624450173875,4.225819503112534,6.703683990069389,0.16484496240746838,0.03893428431107658
23.0,0.05220767354626897,0.014417817396560296,8.503004107670302,7.377486016718712,4.447757870919816,7.045156259539729,0.164271839480501,0.039233494018507835
24.0,0.05500440128725872,0.014590565004190165,8.760264065380785,7.620369791588403,4.628701114585191,7.361959329937051,0.16384875920176817,0.039239696824552785
25.0,0.05769792289786539,0.01479067258694566,8.985725751863919,7.862486569184791,4.82095038523474,7.685017926086912,0.16303643266519427,0.037817545297877085
26.0,0.06042598695133998,0.015021649550308089,9.209486741498896,8.108767834163311,4.966759116229623,8.034238065533083,0.16194148410494594,0.03584633814221337
27.0,0.06319244018070046,0.015275481343305052,9.435098704300486,8.368763223540823,5.08164535229368,8.365556846673877,0.16059792428694752,0.03357095177692929
28.0,0.06594511934817376,0.01551355292790412,9.659197716299081,8.634889040921482,5.155439297567265,8.67062057490656,0.15756189966432427,0.033671230091893725
29.0,0.06859578728653476,0.015736253511150967,9.855729206064364,8.885108695908322,5.2008535471078545,8.934064459785278,0.15423320268193835,0.034059529286920756
30.0,0.07121200726480788,0.015953324390597108,10.087419170946621,9.147764569570006,5.265630217116071,9.21031776776365,0.15027379742384595,0.035424612739014996
31.0,0.07367834944498292,0.016070040047373325,10.319527329443034,9.395285004583197,5.377914854304741,9.523022987386268,0.14644552785596826,0.035174913681583084
32.0,0.07605612041686047,0.016082567681010653,10.543191514324072,9.629065537939281,5.5327213483866355,9.709413153543595,0.14197066175026665,0.03384950570668709
33.0,0.07845839809703714,0.016123208262164096,10.707522449125168,9.877167224869039,5.625684500296799,9.876101781954565,0.1371661224376856,0.031080344232627236
34.0,0.08083001735293481,0.016163780024507385,10.842851866713417,10.108003489071354,5.708773613129526,10.03701186034,0.13246795042276457,0.029704242916378232
35.0,0.08312208789958962,0.016217472156248348,11.024465662457851,10.338473395149135,5.783367286449392,10.25271694055858,0.12701113327052863,0.028935973384495883
36.0,0.08519691319482305,0.016334948557696523,11.286433448803724,10.581588786077997,5.851814806354911,10.478263125689699,0.12022627721497939,0.02885055842976298
37.0,0.08717888688113788,0.016488708331559986,11.551951202883291,10.834776906730905,5.94703592765935,10.716487692091283,0.11340314114384084,0.029018450939477747
38.0,0.08901499904594393,0.016397676541869216,11.786172848524261,11.056680124311775,6.0361983553831156,10.94346462606533,0.10632851829528811,0.029475182920140036
39.0,0.09072602660975822,0.01624931467600987,11.964095531382196,11.238338887150976,6.112690994048291,11.13810503693972,0.09954494873302643,0.02894671131911976
40.0,0.09237112577121222,0.01612781960533219,12.11825923192331,11.411432879487844,6.169041861854366,11.311303993371396,0.09298395424414616,0.02806848829800377
41.0,0.09391237126181907,0.015962137971279492,12.217807042652478,11.547646846673988,6.1423547777203495,11.411132923281246,0.08654965479308455,0.02711882995877296
42.0,0.09535351251934165,0.015769807853387104,12.296121161704125,11.665791916332827,6.108916634774797,11.420698187174583,0.08038716860170173,0.026147335151094624
43.0,0.09665766066060588,0.0156454550049823,12.365620447736767,11.787183455934777,6.054506925909097,11.434303317815978,0.07334445509348221,0.025032433621089516
44.0,0.09780833720233441,0.01552100186487101,12.403234050354644,11.888464955851585,5.968592763526088,11.441845387935844,0.06586765136508654,0.023725698941960777
45.0,0.09887870199737857,0.015380113698615604,12.424757840602988,11.977242289674235,5.794243847279914,11.451111444287136,0.05762289461532094,0.021701060605094073
46.0,0.09981625857848983,0.015274705576167858,12.456505018348352,12.050447958078337,5.566909880662424,11.444882225499123,0.050019335909273474,0.02013893697353811
47.0,0.10061641095497571,0.015207089551305397,12.475060237791357,12.12075808406251,5.364705488233025,11.467500115386786,0.043098486124487925,0.018886084740655763
48.0,0.10125784868382996,0.015037036118186856,12.348197448665337,12.065826698770291,5.076480597098369,11.470314838142171,0.03596292351533568,0.01815365093532595
49.0,0.10182869468299491,0.014969664323845274,12.2189662513609,12.018738683096235,4.819349911755102,11.513059628372389,0.028890973902733715,0.018299517757116107
50.0,0.10232314444685944,0.014950470160130942,11.999383351307909,11.941229046460352,4.436240530883719,11.553883641824777,0.02159844664697592,0.01873368491589744
51.0,0.1026472161696558,0.014908802326076307,11.580216975877972,11.825146113463768,3.7975201772653846,11.73733016581366,0.013547088073946504,0.020051536129545022
52.0,0.10294317276464386,0.014876795354555598,11.189773107421672,11.825977117519075,3.1754113912856448,12.127518649722866,0.005615120249952141,0.02219520193644892
53.0,0.10311827947196758,0.01494610957626265,10.715337970730513,11.935474685844454,2.540676583298539,12.661394319552643,-0.0018368577683063442,0.02539835949381302
54.0,0.10302104812897081,0.014969246506426328,10.285405154611365,12.010722724980555,2.1423329593582525,12.894248152490448,-0.009220163536242712,0.03005258897718809
55.0,0.10289014257856537,0.015143891197702767,10.005195811942434,12.05288533548929,1.8685637552900753,13.007282292922454,-0.01699798665686213,0.03587556098400102
56.0,0.10271666343045036,0.015405832313937592,9.72174351917334,12.112914920434568,1.6111181067340197,13.138271601631985,-0.02550461127001976,0.041957850703597095
57.0,0.10241554194600264,0.01576072390123058,9.471858837316368,12.159695573808774,1.4193653482211626,13.195376090663517,-0.03438386220375851,0.046326434165693785
58.0,0.10196348417149477,0.01619236199565636,9.289712901653658,12.181783944719841,1.3193933814381147,13.188115188378507,-0.04326891086758918,0.04957654102284692
59.0,0.10134374191933448,0.016772354517541457,9.109594073754637,12.21865845491282,1.2274207044520131,13.186426517703552,-0.052398279458307204,0.05247279872899444
60.0,0.10056722283870098,0.0174196684758158,8.891204449152216,12.290428836150765,1.068029410725908,13.251557996049423,-0.06223747518332209,0.05504723168856051
61.0,0.09959725580794203,0.018135359086150757,8.688220140598206,12.320083432586909,0.8778209741036024,13.35389038411345,-0.07236510953908816,0.057151666382386807
62.0,0.09852401551394849,0.018951119595880715,8.510559612813031,12.332739285324152,0.6869653561501948,13.470498922607115,-0.08217806473222652,0.05895025157414978
63.0,0.09723467812659861,0.019843058314715604,8.35096649141665,12.295166497698524,0.527053001080936,13.528380822379543,-0.09083151708844624,0.06017357380486797
64.0,0.0958373980385564,0.020752117626149223,8.133747030620512,12.09899505038087,0.3408298064145022,13.474615285042264,-0.10006291743558995,0.060079444853723594
65.0,0.09426661032368398,0.02179241004928851,7.91553554577082,11.891527229223941,0.1458884429241259,13.424665385154784,-0.1093324936713401,0.05831667864201797
66.0,0.09245151945571044,0.02255189996539698,7.700171007408403,11.631116971029945,-0.10209467714706903,13.311320350537756,-0.11759481431694348,0.05515163872986116
67.0,0.0904684714910981,0.02321647214676027,7.542871920572425,11.415350796445141,-0.2953126935433524,13.206546731522755,-0.12501396466087775,0.05237735117711698
68.0,0.08841638112701987,0.023870584898111193,7.437861327576067,11.183926391014271,-0.4448877480805423,13.073366723751644,-0.13173405258588142,0.05207571580601609
69.0,0.08629010152091772,0.024483355411581465,7.299566164665348,10.968431996720662,-0.5641004485712153,12.898321255029533,-0.13826612515895992,0.05207498130791924
70.0,0.0840783285652606,0.02504705620472411,7.204021206757153,10.705517746456296,-0.6302520156521998,12.680949972473822,-0.1449636545837142,0.05232565366122028
71.0,0.08176452432678735,0.025581750943570663,7.122372207484327,10.444656938711326,-0.564421600439651,12.28570374210988,-0.15178390856168364,0.05162657054552625
72.0,0.07927633419391308,0.02606440457667065,7.034488112852888,10.175440107037913,-0.5374983909249202,11.940215364294547,-0.15815558995900025,0.051017665841113884
73.0,0.07660771915075842,0.02641780059335682,6.953804362988069,9.913272084355707,-0.5565243651251057,11.683835336533072,-0.1633298333794006,0.049934422336382345
74.0,0.0737837495385619,0.02678753603913014,6.916541202515684,9.575958151582608,-0.5636570344158441,11.443115685865273,-0.16941903274875142,0.04776107078261717
75.0,0.07090040181654489,0.0270384873705818,6.852477449606317,9.234004439877635,-0.5707022010323218,11.17657739211749,-0.17485684557663347,0.04497065812595791
76.0,0.06795500607345287,0.027112425627306442,6.716075329883066,8.862320463884545,-0.6032613939695783,10.78843806654407,-0.17891779307117434,0.041135488372506954
77.0,0.06489007436110944,0.02709835720812202,6.5522218953701,8.552258205498,-0.6527429155395618,10.393466761554642,-0.1812603684677394,0.03926650723797108
78.0,0.061752181221101335,0.027073555864936004,6.359486414509201,8.23311983580934,-0.7094120315978115,9.90041663646976,-0.18244725049935168,0.03825690258532213
79.0,0.05859888410528626,0.026954943885329794,6.220009617839407,7.91374202306891,-0.768207588544977,9.502987803298984,-0.18501703208614392,0.03836729748400678
80.0,0.055455524530926927,0.02675649436219163,6.063063759826685,7.610228125796249,-0.8018643594743067,9.09879632693876,-0.1860097442018871,0.03868917496798549
81.0,0.05228266721551165,0.026494896283893232,5.914631243333137,7.334211961856313,-0.8099978957480733,8.738593853003213,-0.18552443987746167,0.03981578369908517
82.0,0.04901014991282453,0.026082088499560816,5.717356536281661,7.043956290081528,-0.8629984090497601,8.43204326437854,-0.18616752230920214,0.037495551391130644
83.0,0.04568335020283596,0.025396316169429733,5.454922490405343,6.673645302482937,-0.9714207400958506,8.058803420777346,-0.18704887088981445,0.03801293583988835
84.0,0.04228314583382891,0.02406732099944328,5.185809996260235,6.329877965578323,-1.0727786777717285,7.701741365761402,-0.18736849210827156,0.04151167727133143
85.0,0.03887053686332833,0.022470326318367626,4.934051143038866,5.991996662171605,-1.1544700160470502,7.351951853554568,-0.1827079494414711,0.04291617006420371
86.0,0.03551274351999887,0.020881608409307934,4.691721490373199,5.685663231268349,-1.211868118067777,7.03482407706902,-0.17631564453248455,0.04336765596991992
87.0,0.03233703450574606,0.01945201645089128,4.472602557595872,5.391931068415665,-1.2503476540599614,6.737900017809608,-0.1696229931913902,0.043009961485564824
88.0,0.02931163908422261,0.018000215228480092,4.24378583614638,5.006834857115908,-1.2087596053146394,6.29214076075638,-0.16359641379542147,0.04283480501586567
89.0,0.026334983414234996,0.016465996381290954,4.022496608928803,4.610882989734031,-1.1355140973726132,5.834703054262551,-0.15835470114657485,0.04399104696191008
90.0,0.02335380480405776,0.014553012532363385,3.8111690052166765,4.275050742580398,-1.059459253984434,5.491107873903969,-0.15472165402060029,0.047498866191498894
91.0,0.020459294324072348,0.012432046706966269,3.5013550739152386,3.8189973343845196,-0.9755682212040806,5.028342774917977,-0.15115048838625378,0.05125508675949611
92.0,0.017596790204619017,0.010078757112153645,3.1737161618632634,3.292208734081572,-0.8773744775422687,4.510124727743339,-0.1471891426976089,0.05377582127352515
