frame,time_s,left_fppa,right_fppa,pelvis_y,visibility_check,left_alignment,right_alignment,left_alignment_index,right_alignment_index,left_signed_deviation_percent,right_signed_deviation_percent,left_knee_deviation_percent,right_knee_deviation_percent,pelvis_y_filtered,pelvis_velocity
0,0.0,179.5065470876063,176.75691419433434,0.42668063938617706,OK,neutral,neutral,0.002153000241200936,-0.014125754167872488,0.21530002412009358,-1.4125754167872488,0.21530002412009358,1.4125754167872488,0.4266632135425295,-0.00035413570107106513
1,0.04793834686279297,179.50046570831407,176.79977754598096,0.4266815632581711,OK,neutral,neutral,0.0021795278623516733,-0.013939276306719907,0.21795278623516734,-1.3939276306719908,0.21795278623516734,1.3939276306719908,0.42664623686245506,-0.00033329446907703897
2,0.10296440124511719,179.509651189132,176.76826266803545,0.4266788363456726,OK,neutral,neutral,0.0021394757316497166,-0.014076456139963023,0.21394757316497165,-1.4076456139963023,0.21394757316497165,1.4076456139963023,0.42662921335015974,-0.00030467295449332354
3,0.15728354454040527,179.51449761235168,176.7474373559192,0.42655953764915466,OK,neutral,neutral,0.0021183194048782963,-0.014168075156358338,0.21183194048782963,-1.4168075156358337,0.21183194048782963,1.4168075156358337,0.4266129157372883,-0.00032004023814913296
4,0.210768461227417,179.5118004056026,176.86007545725147,0.42656180262565613,OK,neutral,neutral,0.002130091465754845,-0.01367653081338773,0.2130091465754845,-1.367653081338773,0.2130091465754845,1.367653081338773,0.4265947448355811,-0.0004124211724758631
5,0.26428651809692383,179.50860585711953,176.9344727679081,0.42656147480010986,OK,neutral,neutral,0.002144035565466122,-0.013351791452947237,0.21440355654661222,-1.3351791452947237,0.21440355654661222,1.3351791452947237,0.42656878062656944,-0.0005693543351736885
6,0.3227555751800537,179.49005731528032,176.93882268971524,0.42656655609607697,OK,neutral,neutral,0.0022249904483941404,-0.013334229592863688,0.22249904483941405,-1.333422959286369,0.22249904483941405,1.333422959286369,0.4265301121132714,-0.0005213323522905711
7,0.3808870315551758,179.49365692530998,176.93540497658998,0.4265534430742264,OK,neutral,neutral,0.0022092438533973754,-0.013350131827603431,0.22092438533973754,-1.335013182760343,0.22092438533973754,1.335013182760343,0.426507898739406,-0.00044151225187682996
8,0.43541741371154785,179.50333845181711,176.9260182887863,0.4264998137950897,OK,neutral,neutral,0.002166989621972504,-0.013392732160120473,0.2166989621972504,-1.3392732160120473,0.2166989621972504,1.3392732160120473,0.42648078501224507,-0.00046125618732517637
9,0.4912445545196533,179.51474412153232,176.96126696983706,0.42640815675258636,OK,neutral,neutral,0.00211718683665738,-0.013239090167875894,0.211718683665738,-1.3239090167875893,0.211718683665738,1.3239090167875893,0.4264570900372096,-0.0004146513042804223
10,0.5550806522369385,179.49407935397062,176.9449070491155,0.42640404403209686,OK,neutral,neutral,0.002207394874521799,-0.013311000602671614,0.2207394874521799,-1.3311000602671614,0.2207394874521799,1.3311000602671614,0.42643133444445475,-0.00016046468714581152
11,0.6088943481445312,179.4929534581312,176.9028369541455,0.4263720065355301,OK,neutral,neutral,0.00221230774927117,-0.013494352726745424,0.221230774927117,-1.3494352726745424,0.221230774927117,1.3494352726745424,0.4264337228877204,0.00012170310588643929
12,0.6623899936676025,179.50832370258905,176.91904571178074,0.42639560997486115,OK,neutral,neutral,0.0021452451520309525,-0.013423323722719531,0.21452451520309526,-1.3423323722719531,0.21452451520309526,1.3423323722719531,0.42644434528691433,0.0002669372943353565
