frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility
0,0.0,left,left,178.12282052931656,1.8771794706834442,176.81323114341126,-3.186768856588742,-3.2195112504165277,89.84360464520469,-1.1952620793956896,1.6880417220603692,0.8074183466076761,OK,0.87979656457901,knee,0.9999704360961914,0.9983115196228027,0.87979656457901,0.9202854037284851,0.9070957899093628,0.9190480709075928
1,0.0488591194152832,left,left,178.17173188137156,1.8282681186284435,176.76584135583673,-3.234158644163273,-3.231037606355206,88.97790978988036,-0.3295672240713543,0.8092989463168586,-0.07132442913584214,OK,0.8797273635864258,knee,0.9999706149101257,0.998320460319519,0.8797273635864258,0.9202943444252014,0.9074708223342896,0.9191809892654419
2,0.08983826637268066,left,left,178.19204146900546,1.80795853099454,176.73559650857146,-3.2644034914285385,-3.240201862995575,88.68445132201958,-0.03610875621058085,0.5166114814470933,-0.36401189400558565,OK,0.8796319961547852,knee,0.9999707341194153,0.9983263611793518,0.8796319961547852,0.9202306270599365,0.9077059030532837,0.9191869497299194
3,0.14876198768615723,left,left,178.19191572821856,1.8080842717814392,176.70184344702847,-3.298156552971534,-3.253584709244942,90.21665956926259,-1.5683170034535863,2.0693156847706486,1.1886923093179576,OK,0.8817267417907715,knee,0.9999712705612183,0.9983299970626831,0.8817267417907715,0.9214548468589783,0.9098532795906067,0.9205275774002075
4,0.21453261375427246,left,left,178.051694661498,1.9483053385019957,176.71556702549287,-3.2844329745071263,-3.279054694633374,90.4759871560045,-1.8276445901955043,2.429670774380311,1.5490473989276268,OK,0.8810430765151978,knee,0.9999714493751526,0.9983109831809998,0.8810430765151978,0.9205812811851501,0.9084627032279968,0.9197632074356079
5,0.27631640434265137,left,left,178.28210809124752,1.7178919087524775,176.61200449184687,-3.387995508153125,-3.260862820437656,90.53875283893979,-1.890410273130783,2.383777435407751,1.503154059955051,OK,0.8785845041275024,knee,0.9999708533287048,0.9982839822769165,0.8785845041275024,0.9196984171867371,0.9074509739875793,0.9193598628044128
6,0.3298168182373047,left,left,178.32003351814922,1.6799664818507836,176.62283560798642,-3.377164392013583,-3.256860897442199,90.47455495984075,-1.8262123940317423,2.274824936262946,1.3942015608102452,OK,0.8773917555809021,knee,0.9999703764915466,0.9982588291168213,0.8773917555809021,0.9188515543937683,0.9062032103538513,0.918583333492279
7,0.3890717029571533,left,left,178.3358844125738,1.6641155874262097,176.63164105909308,-3.3683589409069157,-3.25335002182511,90.48859450763437,-1.8402519418253718,2.267719014142419,1.3870956386897433,OK,0.876644492149353,knee,0.9999700784683228,0.9982379078865051,0.876644492149353,0.9182466268539429,0.9051114916801453,0.9179837703704834
8,0.4429159164428711,left,left,178.30609333391678,1.6939066660832225,176.65340102526997,-3.3465989747300284,-3.24796745386073,90.37744314995233,-1.7291005841433247,2.1699813369048795,1.2893579614521968,OK,0.8770627975463867,knee,0.9999706745147705,0.9982795119285583,0.8770627975463867,0.9196663498878479,0.906804084777832,0.9196860194206238
9,0.50197434425354,left,left,178.4426252373243,1.5573747626756926,176.56858418703058,-3.431415812969419,-3.216201324800386,89.96945666222622,-1.3211140964172188,1.742045913070957,0.8614225376182674,OK,0.8747857809066772,knee,0.9999693632125854,0.99820476770401,0.8747857809066772,0.9178782105445862,0.9058020114898682,0.9180791974067688
10,0.5680265426635742,left,left,178.29381098292328,1.7061890170767242,176.6618530704459,-3.3381469295541137,-3.1624041565669496,90.53872995313044,-1.8903873873214394,2.4206617431943305,1.54003836774163,OK,0.8761324286460876,knee,0.9999688267707825,0.998263418674469,0.8761324286460876,0.9191463589668274,0.9061576128005981,0.9194102883338928
11,0.6241369247436523,left,left,178.19548117710264,1.8045188228973643,176.73502846726203,-3.264971532737974,-3.119907178340824,90.8959954192835,-2.2476528534744915,2.845578596578031,1.9649552211253365,OK,0.8773676753044128,knee,0.9999683499336243,0.9983149170875549,0.8773676753044128,0.920318067073822,0.9064438343048096,0.9206394553184509
12,0.6830711364746094,left,left,178.11888522805728,1.8811147719427197,176.79895221615217,-3.2010477838478266,-3.0843348860888002,91.09693736349632,-2.4485947976873206,3.0947650331980916,2.214141657745415,OK,0.8786031603813171,knee,0.9999679327011108,0.9983630776405334,0.8786031603813171,0.9214459657669067,0.9067007899284363,0.9218167066574097
