rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,descent_duration_s,ascent_duration_s,peak_knee_flexion_deg,peak_prominence_deg,boundary_threshold_deg,quality_percent,interpolated_percent
1,120,140,156,5.801,6.738,7.517,1.716,0.937,0.779,87.2,86.55,8.72,100.0,0.0
2,166,185,200,7.987,8.888,9.612,1.625,0.901,0.724,87.72,87.19,8.77,100.0,0.0
3,211,230,246,10.086,10.942,11.633,1.547,0.857,0.69,87.48,87.1,8.75,100.0,0.0
4,258,276,293,12.157,12.942,13.684,1.527,0.785,0.743,87.7,88.27,8.77,100.0,0.0
5,306,324,340,14.249,15.104,15.829,1.58,0.855,0.725,87.49,88.42,8.75,100.0,0.0
6,351,369,384,16.329,17.139,17.845,1.516,0.809,0.707,90.35,91.28,9.03,100.0,0.0
