rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,descent_duration_s,ascent_duration_s,descent_ascent_time_ratio,mean_knee_descent_velocity_deg_s,mean_knee_ascent_velocity_deg_s,knee_flexion_at_bottom_deg,peak_knee_flexion_deg,hip_flexion_at_bottom_deg,peak_hip_flexion_deg,peak_hip_flexion_cycle_percent,peak_hip_flexion_phase,trunk_flexion_at_bottom_deg,peak_trunk_flexion_deg,peak_trunk_flexion_cycle_percent,peak_trunk_flexion_phase,ankle_dorsiflexion_at_bottom_deg,peak_ankle_dorsiflexion_deg,foot_inclination_at_bottom_deg,peak_foot_inclination_deg,heel_lift_screening,heel_lift_threshold_deg,quality_percent,interpolated_percent
1,120,140,156,5.801,6.738,7.517,1.716,0.937,0.779,1.203,84.39,104.75,87.2,87.2,91.31,91.31,54.6,bottom,26.22,26.43,57.8,ascent,-2.27,6.57,24.38,27.15,above_experimental_threshold,20.0,100.0,0.0
2,166,185,200,7.987,8.888,9.612,1.625,0.901,0.724,1.244,88.81,109.91,87.72,87.72,89.64,89.75,53.1,descent,25.69,25.7,58.2,ascent,-6.29,8.52,30.06,33.01,above_experimental_threshold,20.0,100.0,0.0
3,211,230,246,10.086,10.942,11.633,1.547,0.856,0.691,1.239,96.51,115.86,87.48,87.48,88.75,88.89,52.5,descent,25.81,25.83,52.5,descent,-7.46,5.8,32.0,32.0,above_experimental_threshold,20.0,100.0,0.0
4,258,276,293,12.157,12.942,13.684,1.527,0.785,0.742,1.058,103.62,108.19,87.7,87.7,89.39,89.46,54.8,ascent,25.22,25.68,57.1,ascent,-4.39,8.25,27.92,31.15,above_experimental_threshold,20.0,100.0,0.0
5,306,324,340,14.249,15.104,15.829,1.58,0.855,0.725,1.179,92.73,108.63,87.49,87.49,88.2,88.2,54.1,bottom,23.91,24.08,56.5,ascent,-4.27,4.37,27.46,28.66,above_experimental_threshold,20.0,100.0,0.0
6,351,369,384,16.329,17.139,17.845,1.516,0.81,0.706,1.147,104.78,115.24,90.35,90.35,91.63,91.63,53.4,bottom,24.85,25.14,57.1,ascent,-5.67,6.47,29.25,29.43,above_experimental_threshold,20.0,100.0,0.0
