frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility,quality_valid,knee_flexion_relative_deg,hip_flexion_relative_deg,trunk_flexion_relative_deg,knee_flexion_interpolated_deg,knee_flexion_filtered_deg,knee_flexion_was_interpolated,hip_flexion_interpolated_deg,hip_flexion_filtered_deg,hip_flexion_was_interpolated,trunk_flexion_interpolated_deg,trunk_flexion_filtered_deg,trunk_flexion_was_interpolated,ankle_dorsiflexion_interpolated_deg,ankle_dorsiflexion_filtered_deg,ankle_dorsiflexion_was_interpolated,foot_inclination_interpolated_deg,foot_inclination_filtered_deg,foot_inclination_was_interpolated,any_signal_was_interpolated,knee_angular_velocity_deg_s,signal_processing_valid
0,0.0,left,left,178.12282052931656,1.8771794706834442,176.81323114341126,-3.186768856588742,-3.2195112504165277,89.84360464520469,-1.1952620793956896,1.6880417220603692,0.8074183466076761,OK,0.87979656457901,knee,0.9999704360961914,0.9983115196228027,0.87979656457901,0.9202854037284851,0.9070957899093628,0.9190480709075928,True,-0.6448855693925433,-0.5502539813980438,-0.2932121447935052,-0.6448855693925433,-0.6842629999738449,False,-0.5502539813980438,-0.5919287888694863,False,-0.2932121447935052,-0.3039511342994137,False,-1.1952620793956896,-0.5203126865592083,False,0.8074183466076761,0.1240273411554161,False,False,0.06977284674470371,True
1,0.0488591194152832,left,left,178.17173188137156,1.8282681186284435,176.76584135583673,-3.234158644163273,-3.231037606355206,88.97790978988036,-0.3295672240713543,0.8092989463168586,-0.07132442913584214,OK,0.8797273635864258,knee,0.9999706149101257,0.998320460319519,0.8797273635864258,0.9202943444252014,0.9074708223342896,0.9191809892654419,True,-0.6937969214475439,-0.5976437689725747,-0.30473850073218367,-0.6937969214475439,-0.6916924420540207,False,-0.5976437689725747,-0.6093570110973237,False,-0.30473850073218367,-0.30978475163004016,False,-0.3295672240713543,-0.7823137657828028,False,-0.07132442913584214,0.39019358319605146,False,False,-0.07223884870171099,True
2,0.08983826637268066,left,left,178.19204146900546,1.80795853099454,176.73559650857146,-3.2644034914285385,-3.240201862995575,88.68445132201958,-0.03610875621058085,0.5166114814470933,-0.36401189400558565,OK,0.8796319961547852,knee,0.9999707341194153,0.9983263611793518,0.8796319961547852,0.9202306270599365,0.9077059030532837,0.9191869497299194,True,-0.7141065090814473,-0.6278886162378403,-0.31390275737255235,-0.7141065090814473,-0.6681058939580149,False,-0.6278886162378403,-0.6170692287411446,False,-0.31390275737255235,-0.3183789191061024,False,-0.03610875621058085,-0.991379930665343,False,-0.36401189400558565,0.6219643463423665,False,False,-0.14949686686453706,True
3,0.14876198768615723,left,left,178.19191572821856,1.8080842717814392,176.70184344702847,-3.298156552971534,-3.253584709244942,90.21665956926259,-1.5683170034535863,2.0693156847706486,1.1886923093179576,OK,0.8817267417907715,knee,0.9999712705612183,0.9983299970626831,0.8817267417907715,0.9214548468589783,0.9098532795906067,0.9205275774002075,True,-0.7139807682945483,-0.6616416777808358,-0.3272856036219194,-0.7139807682945483,-0.6999634063442082,False,-0.6616416777808358,-0.6573145590540211,False,-0.3272856036219194,-0.326649233110328,False,-1.5683170034535863,-1.1304095694123617,False,1.1886923093179576,0.7611114890118416,False,False,-0.20805257410047026,True
4,0.21453261375427246,left,left,178.051694661498,1.9483053385019957,176.71556702549287,-3.2844329745071263,-3.279054694633374,90.4759871560045,-1.8276445901955043,2.429670774380311,1.5490473989276268,OK,0.8810430765151978,knee,0.9999714493751526,0.9983109831809998,0.8810430765151978,0.9205812811851501,0.9084627032279968,0.9197632074356079,True,-0.5737597015739917,-0.6479180993164282,-0.3527555890103513,-0.5737597015739917,-0.7296237336997402,False,-0.6479180993164282,-0.6859157086240832,False,-0.3527555890103513,-0.33181389132772654,False,-1.8276445901955043,-1.4297386034044393,False,1.5490473989276268,1.054216687001059,False,False,-0.4268624531825994,True
5,0.27631640434265137,left,left,178.28210809124752,1.7178919087524775,176.61200449184687,-3.387995508153125,-3.260862820437656,90.53875283893979,-1.890410273130783,2.383777435407751,1.503154059955051,OK,0.8785845041275024,knee,0.9999708533287048,0.9982839822769165,0.8785845041275024,0.9196984171867371,0.9074509739875793,0.9193598628044128,True,-0.8041731313235099,-0.7514806329624268,-0.33456371481463343,-0.8041731313235099,-0.7583923224134063,False,-0.7514806329624268,-0.7067067985197586,False,-0.33456371481463343,-0.33444352309363357,False,-1.890410273130783,-1.7905672405273976,False,1.503154059955051,1.4044381935401247,False,False,-0.5805952495692672,True
6,0.3298168182373047,left,left,178.32003351814922,1.6799664818507836,176.62283560798642,-3.377164392013583,-3.256860897442199,90.47455495984075,-1.8262123940317423,2.274824936262946,1.3942015608102452,OK,0.8773917555809021,knee,0.9999703764915466,0.9982588291168213,0.8773917555809021,0.9188515543937683,0.9062032103538513,0.918583333492279,True,-0.8420985582252039,-0.7406495168228848,-0.33056179181917633,-0.8420985582252039,-0.7812278435530496,False,-0.7406495168228848,-0.7163952828714575,False,-0.33056179181917633,-0.33332007201679115,False,-1.8262123940317423,-1.8227239566653453,False,1.3942015608102452,1.4245713239669726,False,False,-0.4452567827710137,True
7,0.3890717029571533,left,left,178.3358844125738,1.6641155874262097,176.63164105909308,-3.3683589409069157,-3.25335002182511,90.48859450763437,-1.8402519418253718,2.267719014142419,1.3870956386897433,OK,0.876644492149353,knee,0.9999700784683228,0.9982379078865051,0.876644492149353,0.9182466268539429,0.9051114916801453,0.9179837703704834,True,-0.8579494526497777,-0.7318440657162175,-0.32705091620208737,-0.8579494526497777,-0.8594139587183103,False,-0.7318440657162175,-0.7457918505639161,False,-0.32705091620208737,-0.3207493980501936,False,-1.8402519418253718,-1.7214178579096882,False,1.3870956386897433,1.2870463517051007,False,False,-0.24698138909514836,True
8,0.4429159164428711,left,left,178.30609333391678,1.6939066660832225,176.65340102526997,-3.3465989747300284,-3.24796745386073,90.37744314995233,-1.7291005841433247,2.1699813369048795,1.2893579614521968,OK,0.8770627975463867,knee,0.9999706745147705,0.9982795119285583,0.8770627975463867,0.9196663498878479,0.906804084777832,0.9196860194206238,True,-0.8281583739927649,-0.7100840995393303,-0.3216683482377074,-0.8281583739927649,-0.861754537053461,False,-0.7100840995393303,-0.7358221348441139,False,-0.3216683482377074,-0.3010576652760523,False,-1.7291005841433247,-1.7214132807478193,False,1.2893579614521968,1.2944232132624165,False,False,-0.07114599999618462,True
9,0.50197434425354,left,left,178.4426252373243,1.5573747626756926,176.56858418703058,-3.431415812969419,-3.216201324800386,89.96945666222622,-1.3211140964172188,1.742045913070957,0.8614225376182674,OK,0.8747857809066772,knee,0.9999693632125854,0.99820476770401,0.8747857809066772,0.9178782105445862,0.9058020114898682,0.9180791974067688,True,-0.9646902774002948,-0.7949009377787211,-0.2899022191773635,-0.9646902774002948,-0.8368440688441448,False,-0.7949009377787211,-0.713383562988992,False,-0.2899022191773635,-0.2736669214557773,False,-1.3211140964172188,-1.8057013726363693,False,0.8614225376182674,1.408573945325435,False,False,0.22000949178899648,True
10,0.5680265426635742,left,left,178.29381098292328,1.7061890170767242,176.6618530704459,-3.3381469295541137,-3.1624041565669496,90.53872995313044,-1.8903873873214394,2.4206617431943305,1.54003836774163,OK,0.8761324286460876,knee,0.9999688267707825,0.998263418674469,0.8761324286460876,0.9191463589668274,0.9061576128005981,0.9194102883338928,True,-0.8158760229992632,-0.7016320543634156,-0.2361050509439271,-0.8158760229992632,-0.7934442319408428,False,-0.7016320543634156,-0.6799213315771742,False,-0.2361050509439271,-0.2398638943085154,False,-1.8903873873214394,-1.927369943808759,False,1.54003836774163,1.5739831491365692,False,False,0.5222864250704727,True
11,0.6241369247436523,left,left,178.19548117710264,1.8045188228973643,176.73502846726203,-3.264971532737974,-3.119907178340824,90.8959954192835,-2.2476528534744915,2.845578596578031,1.9649552211253365,OK,0.8773676753044128,knee,0.9999683499336243,0.9983149170875549,0.8773676753044128,0.920318067073822,0.9064438343048096,0.9206394553184509,True,-0.7175462171786231,-0.6284566575472756,-0.19360807271780134,-0.7175462171786231,-0.7796888880291399,False,-0.6284566575472756,-0.6869693522793459,False,-0.19360807271780134,-0.21678523213014983,False,-2.2476528534744915,-2.1020547548291093,False,1.9649552211253365,1.7925499869491546,False,False,0.6481966915358249,True
12,0.6830711364746094,left,left,178.11888522805728,1.8811147719427197,176.79895221615217,-3.2010477838478266,-3.0843348860888002,91.09693736349632,-2.4485947976873206,3.0947650331980916,2.214141657745415,OK,0.8786031603813171,knee,0.9999679327011108,0.9983630776405334,0.8786031603813171,0.9214459657669067,0.9067007899284363,0.9218167066574097,True,-0.6409502681332677,-0.5645329086571285,-0.1580357804657777,-0.6409502681332677,-0.7217107686939451,False,-0.5645329086571285,-0.660542480550834,False,-0.1580357804657777,-0.2006318968769672,False,-2.4485947976873206,-2.2792423789676577,False,2.214141657745415,2.017442193947562,False,False,0.6715228484046841,True
13,0.7400918006896973,left,left,178.23731661435826,1.7626833856417363,176.6181609217591,-3.381839078240887,-3.132574142968902,91.25086720505408,-2.6025246392450754,3.2628155259678144,2.382192150515124,OK,0.8765332102775574,knee,0.9999664425849915,0.9982542991638184,0.8765332102775574,0.9191624522209167,0.904811441898346,0.9193012714385986,True,-0.7593816544342511,-0.7453242030501888,-0.2062750373458795,-0.7593816544342511,-0.6794536261489421,False,-0.7453242030501888,-0.6405782282893772,False,-0.2062750373458795,-0.1958366057737396,False,-2.6025246392450754,-2.296504864223448,False,2.382192150515124,2.0617928605901286,False,False,0.7043834868964052,True
14,0.7976016998291016,left,left,178.15273464064833,1.8472653593516668,176.70071854567314,-3.2992814543268594,-3.135434648534473,90.85539478291896,-2.207052217109961,2.866506948063007,1.9858835726103052,OK,0.877263069152832,knee,0.9999678730964661,0.9983043074607849,0.877263069152832,0.9195114374160767,0.905502200126648,0.9196942448616028,True,-0.6747996807243206,-0.6627665791361612,-0.2091355429114503,-0.6747996807243206,-0.6291078144656049,False,-0.6627665791361612,-0.5940938872140695,False,-0.2091355429114503,-0.1827953153792606,False,-2.207052217109961,-2.30521323416387,False,1.9858835726103052,2.087403991533057,False,False,0.7906226370152947,True
15,0.8629367351531982,left,left,178.08252527019826,1.9174747298017394,176.76167433175317,-3.23832566824683,-3.1384277010508117,90.6250423794094,-1.9766998136003906,2.642415076407146,1.7617917009544612,OK,0.8779135942459106,knee,0.9999691247940063,0.998346745967865,0.8779135942459106,0.9198021292686462,0.9060584902763367,0.9200285077095032,True,-0.604590310274248,-0.6018107930561318,-0.21212859542778917,-0.604590310274248,-0.603445196421931,False,-0.6018107930561318,-0.5633773425475685,False,-0.21212859542778917,-0.180824966815055,False,-1.9766998136003906,-2.2743116988464918,False,1.7617917009544612,2.053418878157049,False,False,0.8340434421414022,True
16,0.9189968109130859,left,left,177.94375211868595,2.05624788131405,176.96745017263856,-3.0325498273614357,-3.054700726368429,90.9395372689856,-2.2911947031766005,2.97363425129266,2.0930108758399797,OK,0.8789007663726807,knee,0.9999692440032959,0.9983588457107544,0.8789007663726807,0.9204672574996948,0.9053619503974915,0.9202944040298462,True,-0.4658171587619373,-0.3960349521707376,-0.1284016207454064,-0.4658171587619373,-0.5599830680058157,False,-0.3960349521707376,-0.49663943925953663,False,-0.1284016207454064,-0.17053434530223396,False,-2.2911947031766005,-2.2211345698307468,False,2.0930108758399797,1.9872565957822075,False,False,0.7544963813779395,True
17,0.9561748504638672,left,left,177.9905721378389,2.0094278621610897,176.95253493948468,-3.0474650605153215,-3.074483143267772,90.94242968690943,-2.294087121100432,2.924839466318056,2.044216090865376,OK,0.8766376972198486,knee,0.9999685883522034,0.9983683228492737,0.8766376972198486,0.9184372425079346,0.9047686457633972,0.9185250997543335,True,-0.5126371779148977,-0.41095018532462335,-0.14818403764474963,-0.5126371779148977,-0.5150016218659269,False,-0.41095018532462335,-0.4619901190074363,False,-0.14818403764474963,-0.17780272861711827,False,-2.294087121100432,-2.265773955613466,False,2.044216090865376,2.034959724137843,False,False,0.6496897356748411,True
18,1.0143036842346191,left,left,178.0200059722777,1.979994027722313,176.95185043819927,-3.0481495618007273,-3.081121035404797,90.98498155997535,-2.33663899416635,2.932004114093613,2.0513807386409155,OK,0.8745741844177246,knee,0.9999678730964661,0.9983738660812378,0.8745741844177246,0.9165169596672058,0.9041298627853394,0.916839599609375,True,-0.5420710123536745,-0.4116346866100291,-0.15482192978177434,-0.5420710123536745,-0.4643956381263573,False,-0.4116346866100291,-0.4461696483807661,False,-0.15482192978177434,-0.19476654516250633,False,-2.33663899416635,-2.3625403015495947,False,2.0513807386409155,2.1495477666414784,False,False,0.6128408330099091,True
19,1.0592930316925049,left,left,177.9278274099489,2.0721725900511103,176.87396514693364,-3.1260348530663578,-3.1717765651088943,91.07859171183256,-2.430249146023556,3.1050225898411656,2.224399214388484,OK,0.8741284012794495,knee,0.9999685287475586,0.998355507850647,0.8741284012794495,0.9161016345024109,0.90388423204422,0.916279137134552,True,-0.4498924500248771,-0.4895199778756596,-0.24547745948587174,-0.4498924500248771,-0.46196876527966796,False,-0.4895199778756596,-0.48397926299732646,False,-0.24547745948587174,-0.22737511884943115,False,-2.430249146023556,-2.3571861656821143,False,2.224399214388484,2.1518215445503186,False,False,0.486856414555296,True
20,1.109865427017212,left,left,177.8294953515004,2.1705046484995876,176.84077668488652,-3.159223315113479,-3.223246783777752,91.10887410909004,-2.4605315432810357,3.215355288925333,2.3347319134726376,OK,0.8736367225646973,knee,0.9999691247940063,0.9983426332473755,0.8736367225646973,0.9155972599983215,0.9034824371337891,0.9156254529953003,True,-0.35156039157639984,-0.522708439922781,-0.29694767815472956,-0.35156039157639984,-0.4515598981545887,False,-0.522708439922781,-0.5133203028349447,False,-0.29694767815472956,-0.2505087375452387,False,-2.4605315432810357,-2.3290765698975546,False,2.3347319134726376,2.1403282370326506,False,False,0.24250134986749314,True
21,1.1482155323028564,left,left,177.9316177544525,2.0683822455474967,176.77840209955576,-3.2215979004442374,-3.217743594803053,90.9127665896482,-2.2644240238391973,2.985003140836883,2.1043797653841807,OK,0.874290406703949,knee,0.9999693632125854,0.9983459115028381,0.874290406703949,0.915531575679779,0.9042962193489075,0.9155104756355286,True,-0.4536827945284907,-0.5850830252535393,-0.2914444891800305,-0.4536827945284907,-0.4296018808192949,False,-0.5850830252535393,-0.5409639246711497,False,-0.2914444891800305,-0.27064742031880396,False,-2.2644240238391973,-2.231391911141182,False,2.1043797653841807,2.0721065346742193,False,False,0.11712331076980993,True
22,1.2159779071807861,left,left,177.9385278022135,2.061472197786486,176.8058297402966,-3.1941702597034123,-3.19015123674681,90.80188170798664,-2.1535391421776353,2.867372928729724,1.9867495532770363,OK,0.8703851103782654,knee,0.9999684691429138,0.9983465671539307,0.8703851103782654,0.9128571152687073,0.9019017219543457,0.9129891991615295,True,-0.46059284228950137,-0.5576553845127141,-0.26385213112378736,-0.46059284228950137,-0.4219079919934055,False,-0.5576553845127141,-0.5519445384232715,False,-0.26385213112378736,-0.27142698572309404,False,-2.1535391421776353,-2.0748282726424607,False,1.9867495532770363,1.9334378333492055,False,False,0.06487929770578918,True
23,1.2722811698913574,left,left,177.91021588560122,2.089784114398782,176.81363232901825,-3.1863676709817526,-3.1818144492726232,90.49655826619349,-1.8482157003844861,2.590895602301453,1.7102722268487582,OK,0.8697472810745239,knee,0.999968409538269,0.9983420968055725,0.8697472810745239,0.9121181964874268,0.9016624093055725,0.9121546745300293,True,-0.43228092567720555,-0.5498527957910544,-0.2555153436496007,-0.43228092567720555,-0.4420890408528047,False,-0.5498527957910544,-0.5647422829035638,False,-0.2555153436496007,-0.26531008202333195,False,-1.8482157003844861,-1.9865158383214834,False,1.7102722268487582,1.8438589983488896,False,False,-0.13665643825085985,True
24,1.3121070861816406,left,left,177.88935796581944,2.1106420341805574,176.81906207817303,-3.180937921826967,-3.1756743921303445,90.29577351933895,-1.6474309535299483,2.4116790832161152,1.5310557077634144,OK,0.8691748380661011,knee,0.9999683499336243,0.998339831829071,0.8691748380661011,0.911457359790802,0.9014613032341003,0.9114197492599487,True,-0.41142300589543,-0.5444230466362687,-0.249375286507322,-0.41142300589543,-0.44672353744581217,False,-0.5444230466362687,-0.5694314525954444,False,-0.249375286507322,-0.26211507700445236,False,-1.6474309535299483,-1.9873866596351717,False,1.5310557077634144,1.8479794977803352,False,False,-0.3278998713799705,True
25,1.3553686141967773,left,left,177.9304005957974,2.0695994042025916,176.77678796248506,-3.2232120375149407,-3.192662265278942,90.66731193748515,-2.0189693716761496,2.7674611139237526,1.8868377384710584,OK,0.8694753646850586,knee,0.9999685287475586,0.9983188509941101,0.8694753646850586,0.9118586778640747,0.9016533493995667,0.9118740558624268,True,-0.45246563587339583,-0.5866971623242425,-0.2663631596559193,-0.45246563587339583,-0.45350928713625455,False,-0.5866971623242425,-0.5832810142913847,False,-0.2663631596559193,-0.2659573673603138,False,-2.0189693716761496,-2.052541787111494,False,1.8868377384710584,1.9163561469062926,False,False,-0.2595596333607788,True
26,1.3996078968048096,left,left,177.95479023741754,2.0452097625824592,176.75495625109636,-3.2450437489036403,-3.201768569708655,90.91712069621664,-2.2687781304076395,3.005605637994089,2.1249822625414083,OK,0.8697497844696045,knee,0.9999686479568481,0.9982965588569641,0.8697497844696045,0.9122264981269836,0.9017712473869324,0.9122439622879028,True,-0.4768552774935282,-0.6085288737129422,-0.27546946408563233,-0.4768552774935282,-0.4994991013081952,False,-0.6085288737129422,-0.6118122937757339,False,-0.27546946408563233,-0.2698946010580722,False,-2.2687781304076395,-2.1770856580502596,False,2.1249822625414083,2.019504249459703,False,False,-0.10749900508558374,True
