frame,time_s,left_fppa,right_fppa,pelvis_y,visibility_check,left_alignment,right_alignment,left_alignment_index,right_alignment_index,left_signed_deviation_percent,right_signed_deviation_percent,left_knee_deviation_percent,right_knee_deviation_percent,pelvis_velocity
0,0.0,179.0247188933842,177.74045816193131,0.528938353061676,OK,neutral,neutral,-0.0042537592053611085,-0.009835913226971285,-0.42537592053611084,-0.9835913226971286,0.42537592053611084,0.9835913226971286,-0.0004696692539674692
1,0.03375744819641113,178.98394280335705,177.73871513590578,0.5288776159286499,OK,neutral,neutral,-0.00443173514905908,-0.009845048030624661,-0.443173514905908,-0.9845048030624661,0.443173514905908,0.9845048030624661,-0.00038846924411428674
2,0.10813236236572266,179.00974247517604,177.58955385001673,0.5288631618022919,OK,neutral,neutral,-0.004319086244802678,-0.010493489713633647,-0.4319086244802678,-1.0493489713633646,0.4319086244802678,1.0493489713633646,-0.00021712396606865525
3,0.17657065391540527,179.0376589878664,177.48079915382044,0.528852105140686,OK,neutral,neutral,-0.004197235478822945,-0.010966255216391356,-0.41972354788229455,-1.0966255216391356,0.41972354788229455,1.0966255216391356,-0.00043151767086779813
4,0.22622466087341309,179.02992392284855,177.47924446638504,0.5288273692131042,OK,neutral,neutral,-0.004230683013028384,-0.010972525082096644,-0.4230683013028384,-1.0972525082096645,0.4230683013028384,1.0972525082096645,-0.0007558594167598187
5,0.2603323459625244,179.00724323055294,177.62816484829028,0.5288292467594147,OK,neutral,neutral,-0.004329655765267322,-0.010325468760915054,-0.4329655765267322,-1.0325468760915053,0.4329655765267322,1.0325468760915053,-0.000904377976660875
6,0.30034732818603516,178.9910300236767,177.73931220177892,0.5288310050964355,OK,neutral,neutral,-0.004400408772819033,-0.009842375196786926,-0.44004087728190333,-0.9842375196786926,0.44004087728190333,0.9842375196786926,-0.0015285665735369491
7,0.3231234550476074,178.97307954591994,177.6652578817111,0.5287360548973083,OK,neutral,neutral,-0.00447862606065853,-0.010165294907338992,-0.447862606065853,-1.0165294907338993,0.447862606065853,1.0165294907338993,-0.0014029435709765892
8,0.3648669719696045,178.9573301947605,177.63124094803294,0.5286686420440674,OK,neutral,neutral,-0.004547263363204755,-0.010313656587135005,-0.4547263363204755,-1.0313656587135005,0.4547263363204755,1.0313656587135005,-0.00044769557086610234
9,0.40238356590270996,178.81854981400863,177.63146517612466,0.52860027551651,OK,neutral,neutral,-0.005152797715869939,-0.01031258971781517,-0.5152797715869939,-1.031258971781517,0.5152797715869939,1.031258971781517,-0.000636518437987732
10,0.4359261989593506,178.7440863540812,177.63381327105793,0.5285548567771912,OK,neutral,neutral,-0.005477827338138148,-0.010302338401398816,-0.5477827338138148,-1.0302338401398816,0.5477827338138148,1.0302338401398816,-0.000863978350846395
11,0.4692375659942627,178.73764158857696,177.58949124739755,0.5286645591259003,OK,neutral,neutral,-0.005505996604895828,-0.010495338065550183,-0.5505996604895828,-1.0495338065550184,0.5505996604895828,1.0495338065550184,-0.0006950255807671724
12,0.5099241733551025,178.73156949511664,177.55010732175268,0.5287375152111053,OK,neutral,neutral,-0.005532523090959168,-0.010666861137085093,-0.5532523090959168,-1.0666861137085093,0.5532523090959168,1.0666861137085093,-0.0004272082353535822
13,0.5535433292388916,178.77385258008007,177.53180211080493,0.528621256351471,OK,neutral,neutral,-0.005347904836373146,-0.010747170660925585,-0.5347904836373146,-1.0747170660925585,0.5347904836373146,1.0747170660925585,-0.0003167876966934102
14,0.5883052349090576,178.81129585813588,177.52329323649926,0.5285413861274719,OK,neutral,neutral,-0.00518444352435442,-0.010784657533964246,-0.518444352435442,-1.0784657533964246,0.518444352435442,1.0784657533964246,0.0002456222308895306
