cycle_percent,knee_flexion_mean,knee_flexion_sd,hip_flexion_mean,hip_flexion_sd,trunk_flexion_mean,trunk_flexion_sd,knee_velocity_mean,knee_velocity_sd,ankle_dorsiflexion_mean,ankle_dorsiflexion_sd,foot_inclination_mean,foot_inclination_sd
0.0,5.287038859953701,1.1591207675765882,2.5957279489860197,2.4438439967260255,-0.28755908437977457,1.6247742806492818,73.1099009358868,7.185096879297779,4.320475821188942,1.4955218853830121,-1.9167239946010408,1.0447971101759854
1.0,6.827469138464593,1.1445408242390824,4.015818552559485,2.4555176743672047,0.09789421212061351,1.60454330945014,81.0198605838955,11.39308444303735,4.802756195423155,1.5003171543018758,-1.8932113973974385,1.0533738825402643
2.0,8.367899416975487,1.1342645606587032,5.435909156132948,2.473149584876283,0.48334750862100145,1.5884208037184135,88.92982023190417,15.975449342810997,5.285036569657367,1.512025567494852,-1.8696988001938362,1.0628947064013476
3.0,9.979306751034844,1.133697646891951,6.926083394872859,2.4558075944572075,0.8890592360522594,1.5600830519340019,96.70257603725231,20.37484501896303,5.759494106409707,1.5171967423219062,-1.8172115141954739,1.0198730757535404
4.0,11.81268421886444,1.4169718461956655,8.642768592376191,2.3983327481434245,1.3613918490469505,1.4888741733790478,104.16251059408016,24.814938130940007,6.203086996036439,1.5285514543470784,-1.6717795205012511,0.8876537496277825
5.0,13.672234373041634,1.8921791109563146,10.390809511357396,2.465619915992449,1.8441429327003247,1.4224973964735115,111.32957344158956,29.908648314090893,6.632953775176837,1.5592296542336308,-1.507385980792291,0.7877849987025224
6.0,15.586732900857973,2.5704673409525336,12.219341788829974,2.7445906738520014,2.3600701142881757,1.3674882703105649,116.83824419762455,31.426294516273664,7.039249578633666,1.5702878792901684,-1.3117883523175076,0.6937695137100747
7.0,17.51578584900734,3.398622161605286,14.078617571702168,3.2599726608391673,2.887260164041203,1.3634916699722173,122.32324583515215,32.16851718796122,7.430705676986745,1.590903532961511,-1.1062772356403894,0.6953819995085316
8.0,19.663497487273414,4.1156196717224045,16.149515376872504,3.6855325095223477,3.4628878704264565,1.371277559648329,127.14504422767385,32.52731813122069,7.853254540730455,1.6915809510364328,-0.8763845599031104,0.806182161727031
9.0,21.91481467929197,4.572762624653764,18.315626072620965,3.8833812823588403,4.061825176963089,1.33186136046626,132.35722375792912,33.40990829215529,8.314763699561922,1.810472662714858,-0.6537499159278464,0.9254160798824874
10.0,24.32299368194019,4.886348354109751,20.630213193808462,3.9738639831514,4.699585659439336,1.2671380832304642,138.09876372503138,35.54094251774102,8.815802433699426,1.9211391632563644,-0.42343628612838186,1.0481237995166701
11.0,26.761805081248387,5.231812133102715,22.992256454645826,4.115163097130835,5.342912606611693,1.207552569604216,143.16584054543702,37.63162000765964,9.306565899133469,2.0200544845548145,-0.19410466591923536,1.164392282736106
12.0,29.23761189344292,5.569039077111478,25.39794372258915,4.304191187094512,5.970214257013961,1.1586142326761457,146.01729604914257,37.38093156546543,9.72970340053822,2.1179276944977525,0.08017902732949084,1.2157667425535439
13.0,31.734166047649698,6.0740933430435415,27.819563428198435,4.71190276179801,6.598691402352304,1.1520933326783922,148.6452574115733,37.42589106721399,10.153898801056448,2.256010478370345,0.3593952207471012,1.2825603853143428
14.0,34.38454610441592,6.832440731800432,30.386038399726647,5.389966556513171,7.247431311041797,1.201148316660501,150.95130546361085,37.17943074118851,10.613082641403366,2.4321126973060525,0.6328563743276805,1.3662030797809523
15.0,37.161218264854206,7.369218553448452,33.098998002976906,5.903908651255551,7.9316039130305995,1.26574259576031,149.3252505758533,31.189100268301374,11.1089700758,2.5171330373390863,0.884854099107879,1.4243237089393916
16.0,39.857105166507175,7.553642520933992,35.76948963871846,5.991875530846664,8.615419276050682,1.216264295749096,146.7282163721651,25.800966481141987,11.574730920748031,2.605556755193729,1.1283038830913465,1.4244569088979575
17.0,42.47931590259021,7.75788030540751,38.37443677002401,6.10791940618558,9.286436579543043,1.1696105285835436,143.87975260914024,21.015302772999505,12.027880676063214,2.704085341130269,1.363435036045994,1.428741176670915
18.0,44.78430514567273,7.563617763224706,40.69483243874243,5.931701725094751,9.878329707166687,1.0830393808716072,138.56539217532216,15.994232242426309,12.404068454808124,2.6193947294774813,1.5637339592888406,1.427000733291934
19.0,47.17233994927597,7.434086468793295,43.01877352115013,5.877155959222903,10.418276784417975,1.0786934766965552,131.6142941762543,13.949771847505506,12.846150520651761,2.500359378224155,1.7256926918920374,1.4109910264071597
20.0,49.4923050616392,7.26131697681828,45.27982315323811,5.78429119054268,10.940656296469271,1.0800504938073345,124.66530542376684,15.90326383308776,13.26942373225696,2.378990569421593,1.8837144726133828,1.3948641535298145
21.0,51.50792255610907,6.920283849939136,47.285749960098975,5.515929490730892,11.426493162425034,1.0526387683138565,118.8105585032244,19.64555551936617,13.653889601169595,2.2594881974915513,1.994776157265524,1.3697385237061692
22.0,53.426325128133875,6.400068927165258,49.22774622189078,5.103048130261971,11.924646867081696,1.015535383273874,112.69400329348376,22.80230079460377,14.103628259630876,2.012046085489836,2.0195975136939004,1.2854088375013246
23.0,55.26537784938895,5.960266055166485,51.13648538166234,4.739698893215293,12.43457939549068,0.9550390702357707,105.00159264900873,24.299493074275073,14.512105795123935,1.7613719323435595,2.0513660680933423,1.2078064315055548
24.0,57.138807783868025,5.569251442653414,53.104089516260636,4.424390980192841,12.938622567326282,0.887334289224514,98.41134854762497,25.572578962087565,14.86417846667542,1.5704263299306132,2.109162368258246,1.2135702108997508
25.0,58.818667840867846,5.116214058986415,54.93650169840301,4.08058587016044,13.419677782161612,0.8184698015578883,92.78768753894063,25.477181371311303,15.117151044674536,1.441198540088408,2.1846928799518834,1.2588428716343285
26.0,60.23383434981139,4.7245775314862355,56.56131464828732,3.843655305265324,13.871661342564272,0.7717190466971152,86.69700062953599,24.956694801971672,15.331978083832112,1.3867110248577166,2.2122029602562114,1.3665744966226592
27.0,61.4889605676535,4.422984086745066,58.02955102249189,3.646154070669151,14.298419750440544,0.7201171685776959,82.4527250107813,22.091506286626565,15.487559784982714,1.4621078783723427,2.2702695106194266,1.4843511144995774
28.0,62.74418182986915,4.261884807398269,59.49669954615522,3.543980511809663,14.725131375491728,0.6763813791256442,78.62021872177725,19.870373702022967,15.643226950742354,1.6389014534056943,2.3293867084632747,1.6267299127764774
29.0,63.86293165886796,4.349882223548655,60.88274138143663,3.6448426830918956,15.150450221992807,0.6526227780366451,75.36311835161278,18.006558862774558,15.693563851303912,1.7237912240933135,2.4370766481201915,1.7400289966894376
30.0,65.12893345120831,4.445641791973492,62.38941532835906,3.8199743462753735,15.579439117529887,0.6540406036996846,71.9615692153332,15.459943382301935,15.745882803389291,1.7711635086652922,2.5730744369898297,1.9245412444879668
31.0,66.41064479310974,4.55543369116704,63.91056318819138,4.012960564796299,16.010984578278578,0.6643282837601481,68.5475744835566,14.3075966133623,15.810309178439846,1.835384928588164,2.700757004757076,2.107093212733955
32.0,67.52162469667658,4.670970106457137,65.31375708800988,4.188984951205634,16.46170180324193,0.7125005278598453,65.88483462629263,12.523736561366524,15.857630048105626,1.8337356946012426,2.811939363802974,2.173040375853333
33.0,68.58049011425659,4.806948743615942,66.68000799114601,4.397748967144895,16.907360771395442,0.783979756036975,64.2746314851707,11.862356080940351,15.901506895742232,1.7846129989988253,2.9063359987637565,2.234884161061854
34.0,69.54930929114975,4.784773986748413,67.96905830574575,4.455499333387286,17.34673945081854,0.8438998919974509,62.77831237809746,13.217751184232732,15.958571836477182,1.7180065150170323,2.968418599745339,2.2571942326757166
35.0,70.40626835242493,4.621527681194423,69.14156396525524,4.369502142573077,17.769899378268917,0.8863580241505874,61.79090407173669,15.412088471418581,16.01974849461281,1.6510692168847765,3.014855270825759,2.2323019294485804
36.0,71.36157450608577,4.462358944322113,70.3824881662141,4.251590825036948,18.19810628900116,0.9226797263594229,60.7126107502213,15.996537414313464,16.112155104295077,1.552868367194009,3.065037524577734,2.1676592114055846
37.0,72.38765990626474,4.353449818723499,71.69111302771039,4.154161756817517,18.630958635041413,0.9650456921325703,59.716887585807115,15.931607954686294,16.227896769338255,1.4239266544322755,3.0996087442574787,2.094902058197798
38.0,73.4784778044169,4.3381057373622305,73.06107757039663,4.138076986041798,19.06935247626413,1.0149678980195072,59.500215935626834,15.001151800634785,16.36576688152177,1.284046293269762,3.120985828762611,2.0148656534685028
39.0,74.62540864822121,4.21930960874417,74.47418263484765,3.9989824612836493,19.500820011722883,1.0533799448773167,58.960323619543765,13.842423498421027,16.52433202298794,1.2048636155885892,3.127714002108469,1.9483617558391486
40.0,75.68706547167959,4.132481912305142,75.80314065499367,3.8514081295080143,19.923116424904727,1.0680185660761823,58.24536173095288,12.890372838125487,16.66923580287639,1.1748720011628768,3.137805438714222,1.8941997904207595
41.0,76.72602174949435,4.052772571647531,77.08399798623729,3.670816428348332,20.324599525750536,1.039597176961305,57.763855183216634,11.915838075425073,16.818433106198494,1.1567298670763895,3.14819018280908,1.8514778712191646
42.0,77.71738624817043,3.8727858724456756,78.29576122700539,3.4618782189053436,20.70974510752532,1.0177404760469722,56.16035156555959,10.767914508193181,16.951213583265957,1.1260333878780004,3.1801565454243748,1.766438552056033
43.0,78.65720686320319,3.610783366254016,79.45822328150037,3.2002143525710527,21.099123308350006,1.0001841452090385,53.98554576077783,10.108440113220002,17.069442172596226,1.1085332998148292,3.228664717456581,1.689562805637365
44.0,79.61543950818395,3.3924587754870905,80.61348925476685,2.987119794795695,21.48014123145251,0.9923712377034211,50.9925612144836,10.367429051007125,17.17197159778966,1.1102895632523921,3.31011988707994,1.636662371393196
45.0,80.57789272884425,3.1938311451211714,81.75456664872198,2.786628816019514,21.842032569681326,0.9735118787089386,47.414026482858525,10.566757031088459,17.239057960500983,1.0977631198487001,3.4263006893026056,1.5759400541641757
46.0,81.48626720950598,2.9830802598970236,82.82158042828335,2.559118136817735,22.16990287665045,0.9305275253366718,43.56322804208184,9.971024634087843,17.2731744485172,1.06888822918089,3.5614152093558684,1.4985021918874029
47.0,82.35548577531578,2.81263506563441,83.83180095303403,2.403893754705289,22.47981460639622,0.8991464589756523,39.690715064766955,9.563634761466188,17.31288265839267,1.0419206529911038,3.6906167702852906,1.4225114271635493
48.0,83.04116806786818,2.660084130528589,84.65474564648648,2.278379011884184,22.766418740016018,0.8831847027440719,35.19911329168776,9.302163451195748,17.34490740257021,1.0047109651150483,3.807933758827502,1.3318130873045038
49.0,83.52434908214231,2.6132481996687296,85.27642395019619,2.2180403806597484,23.020866977299207,0.876628840610149,30.64264109572693,8.907029889712629,17.320014349975988,0.9608191050771293,3.948777759269333,1.2418644674203696
50.0,83.90256219132425,2.565455034124557,85.79445004036167,2.1281377315433834,23.256914837629065,0.8681685827609887,26.208604138515053,8.428188501325769,17.26918231520922,0.9667971658063644,4.095844673382403,1.1892887466064708
