frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility,quality_valid,knee_flexion_relative_deg,hip_flexion_relative_deg,trunk_flexion_relative_deg,knee_flexion_interpolated_deg,knee_flexion_filtered_deg,knee_flexion_was_interpolated,hip_flexion_interpolated_deg,hip_flexion_filtered_deg,hip_flexion_was_interpolated,trunk_flexion_interpolated_deg,trunk_flexion_filtered_deg,trunk_flexion_was_interpolated,ankle_dorsiflexion_interpolated_deg,ankle_dorsiflexion_filtered_deg,ankle_dorsiflexion_was_interpolated,foot_inclination_interpolated_deg,foot_inclination_filtered_deg,foot_inclination_was_interpolated,any_signal_was_interpolated,knee_angular_velocity_deg_s,signal_processing_valid
0,0.0,left,left,177.42640047746085,2.573599522539155,177.2357072155523,-2.76429278444769,-2.8236314845633856,94.47490023884602,-0.10152244124073206,6.98916106126948,-0.13933174327959819,OK,0.9000217318534851,heel,0.9999963045120239,0.9991588592529297,0.9258294105529785,0.9410166144371033,0.9000217318534851,0.9331501722335815,True,0.01525923926776196,-0.45970705997379113,-0.7158204837618714,0.01525923926776196,-0.00035132949864324914,False,-0.45970705997379113,-0.4544674890642959,False,-0.7158204837618714,-0.7134195583329181,False,-0.10152244124073206,-0.11840149790960908,False,-0.13933174327959819,-0.14090190085767063,False,False,0.3447218125995253,True
1,0.05378103256225586,left,left,177.45762161499366,2.5423783850063444,177.2461863573713,-2.7538136426286997,-2.8188296337054792,94.50865835218377,-0.1352805545784861,6.986020746113336,-0.14247205843574307,OK,0.8988066911697388,heel,0.9999962449073792,0.9991415143013,0.9268802404403687,0.939581573009491,0.8988066911697388,0.9311307072639465,True,-0.015961898265048458,-0.4492279181548007,-0.7110186329039649,-0.015961898265048458,0.01618550328778534,False,-0.4492279181548007,-0.4690357302527713,False,-0.7110186329039649,-0.7344471304324106,False,-0.1352805545784861,-0.14809017917027725,False,-0.14247205843574307,-0.1011357177215757,False,False,0.32805187141383363,True
2,0.11006546020507812,left,left,177.39240054786796,2.6075994521320354,177.19724206289638,-2.802757937103621,-2.88431327543291,94.5808453392969,-0.20746754169161363,7.106889453099678,-0.021603351449385855,OK,0.8999156355857849,heel,0.9999962449073792,0.9991499185562134,0.9267418384552002,0.939907968044281,0.8999156355857849,0.9317622780799866,True,0.04925916886064252,-0.4981722126297221,-0.7765022746313957,0.04925916886064252,0.04207073708951118,False,-0.4981722126297221,-0.4946894623268617,False,-0.7765022746313957,-0.7722111437071005,False,-0.20746754169161363,-0.17685384974354199,False,-0.021603351449385855,-0.05859709454717669,False,False,-0.01815788245074516,True
3,0.16445398330688477,left,left,177.34874477605567,2.6512552239443323,177.15874601933004,-2.8412539806699613,-2.9369235243874554,94.56119125056581,-0.1878134529605262,7.116776930792686,-0.011715873756401152,OK,0.900638222694397,heel,0.9999962449073792,0.9991554617881775,0.9268296957015991,0.9398702383041382,0.900638222694397,0.931975245475769,True,0.09291494067293948,-0.5366682561960623,-0.8291125235859411,0.09291494067293948,0.049417962536678406,False,-0.5366682561960623,-0.48533621928651033,False,-0.8291125235859411,-0.7539753056376836,False,-0.1878134529605262,-0.16792288695225466,False,-0.011715873756401152,-0.051298236862218495,False,False,-0.927233905952035,True
4,0.22366118431091309,left,left,177.43557993865215,2.564420061347846,177.27424608649235,-2.7257539135076456,-2.764122119497228,94.48186546380991,-0.10848766620462413,7.0079173191681985,-0.12057548538086849,OK,0.900797426700592,heel,0.9999959468841553,0.9990907907485962,0.9250059127807617,0.9399405717849731,0.900797426700592,0.931838870048523,True,0.006079778076453213,-0.42116818903374664,-0.6563111186957138,0.006079778076453213,-0.049702189154484135,False,-0.42116818903374664,-0.5250556406319108,False,-0.6563111186957138,-0.7008683645835151,False,-0.10848766620462413,0.0008190487575537494,False,-0.12057548538086849,-0.2263339618636356,False,False,-2.204801252913906,True
5,0.27878618240356445,left,left,177.68976100294145,2.3102389970585477,177.07808379886018,-2.9219162011398225,-2.7249924522704045,94.07461953216747,0.2987582654378116,6.5817822780954405,-0.5467105264536372,OK,0.9012466073036194,heel,0.9999957084655762,0.9990167617797852,0.923598051071167,0.9400879740715027,0.9012466073036194,0.9318071007728577,True,-0.2481012862128451,-0.6173304766659236,-0.6171814514688903,-0.2481012862128451,-0.21343118518363857,False,-0.6173304766659236,-0.6004534715164276,False,-0.6171814514688903,-0.6292174977842357,False,0.2987582654378116,0.21657052363697935,False,-0.5467105264536372,-0.4587657350884247,False,False,-3.337185373505934,True
6,0.3430461883544922,left,left,177.83993176414313,2.160068235856869,176.9325525266765,-3.0674474733235115,-2.7219709239896175,93.91393682592754,0.45944097167775055,6.419481611118309,-0.7090111934307686,OK,0.9020638465881348,heel,0.9999955296516418,0.998959481716156,0.9226096868515015,0.9404826760292053,0.9020638465881348,0.9320570230484009,True,-0.3982720474145238,-0.7628617488496126,-0.6141599231881032,-0.3982720474145238,-0.4833193758169296,False,-0.7628617488496126,-0.9550528975990235,False,-0.6141599231881032,-0.7170343871852412,False,0.45944097167775055,0.6417915987680421,False,-0.7090111934307686,-0.8870924641711989,False,False,-3.8352167259154855,True
7,0.3964991569519043,left,left,178.24524451055203,1.754755489447973,176.21044780824457,-3.7895521917554333,-3.0275727877002443,93.20620223841672,1.1671755591885642,5.72293713191989,-1.4055556726291911,OK,0.903616726398468,heel,0.9999952912330627,0.9989063143730164,0.9227293133735657,0.9414736032485962,0.903616726398468,0.9329994916915894,True,-0.8035847938234197,-1.4849664672815344,-0.91976178689873,-0.8035847938234197,-0.7008036120999998,False,-1.4849664672815344,-1.2618760386521768,False,-0.91976178689873,-0.8192453705468469,False,1.1671755591885642,0.8738610755962716,False,-1.4055556726291911,-1.1320340195909466,False,False,-3.557943315665405,True
8,0.4520738124847412,left,left,178.34221371179066,1.657786288209337,176.15761437570072,-3.8423856242992827,-3.0316254023552216,93.37841110168279,0.9949666959224999,5.846957611836204,-1.2815351927128802,OK,0.9040992259979248,heel,0.9999950528144836,0.9988307356834412,0.9217074513435364,0.9414491057395935,0.9040992259979248,0.9329376816749573,True,-0.9005539950620558,-1.5377998998253837,-0.9238144015537073,-0.9005539950620558,-0.9009235119250305,False,-1.5377998998253837,-1.532548931707743,False,-0.9238144015537073,-0.919972546713305,False,0.9949666959224999,1.0123686497107276,False,-1.2815351927128802,-1.300715776641321,False,False,-2.7331735313775667,True
9,0.5102996826171875,left,left,178.44029146361822,1.5597085363817769,176.1205338475098,-3.8794661524902097,-3.024152452488992,93.49841410358417,0.874963694021119,5.913436339967185,-1.2150564645818918,OK,0.9044822454452515,heel,0.9999948143959045,0.998756468296051,0.9207170009613037,0.941295325756073,0.9044822454452515,0.9328145980834961,True,-0.998631746889616,-1.5748804280163107,-0.9163414516874777,-0.998631746889616,-1.0039096440178301,False,-1.5748804280163107,-1.5559967626261713,False,-0.9163414516874777,-0.8832916577281508,False,0.874963694021119,1.0635533201503098,False,-1.2150564645818918,-1.3947578592701195,False,False,-1.7946477635703435,True
