rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,descent_duration_s,ascent_duration_s,descent_ascent_time_ratio,mean_knee_descent_velocity_deg_s,mean_knee_ascent_velocity_deg_s,knee_flexion_at_bottom_deg,peak_knee_flexion_deg,hip_flexion_at_bottom_deg,peak_hip_flexion_deg,peak_hip_flexion_cycle_percent,peak_hip_flexion_phase,trunk_flexion_at_bottom_deg,peak_trunk_flexion_deg,peak_trunk_flexion_cycle_percent,peak_trunk_flexion_phase,ankle_dorsiflexion_at_bottom_deg,peak_ankle_dorsiflexion_deg,foot_inclination_at_bottom_deg,peak_foot_inclination_deg,heel_lift_screening,heel_lift_threshold_deg,quality_percent,interpolated_percent
1,17,35,47,0.978,2.059,2.765,1.787,1.081,0.706,1.531,74.98,112.64,86.33,86.33,88.37,88.37,60.5,bottom,24.15,24.33,66.6,ascent,16.01,18.85,6.11,8.81,below_experimental_threshold,20.0,100.0,0.0
2,54,70,83,3.168,4.121,4.83,1.662,0.953,0.709,1.344,82.22,110.08,84.28,84.28,85.79,85.79,57.3,bottom,22.75,22.91,60.6,ascent,17.46,17.48,3.78,4.96,below_experimental_threshold,20.0,100.0,0.0
3,92,109,123,5.336,6.222,7.033,1.697,0.886,0.811,1.092,88.81,92.56,83.04,83.04,86.44,86.44,52.2,bottom,24.41,24.84,59.0,ascent,15.76,15.91,5.25,10.87,below_experimental_threshold,20.0,100.0,0.0
4,132,148,163,7.543,8.495,9.305,1.762,0.952,0.81,1.175,83.36,96.89,83.3,83.3,87.23,87.23,54.0,bottom,24.77,24.9,57.5,ascent,15.73,18.44,5.1,8.67,below_experimental_threshold,20.0,100.0,0.0
5,174,193,207,9.829,10.767,11.573,1.744,0.938,0.806,1.164,87.59,99.8,87.22,87.22,89.09,89.28,57.2,ascent,24.11,24.7,60.5,ascent,18.26,18.26,3.98,8.34,below_experimental_threshold,20.0,100.0,0.0
6,217,234,247,12.15,13.137,13.817,1.667,0.987,0.68,1.451,82.79,121.27,88.89,88.89,90.64,90.64,59.2,bottom,25.3,25.3,59.2,bottom,15.33,17.71,8.22,10.16,below_experimental_threshold,20.0,100.0,0.0
