frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility
20,1.1711435317993164,left,left,154.8213990410018,25.178600958998203,159.87679268116187,20.123207318838126,4.097066434448716,88.20765937797695,6.165718419628334,7.360119452585741,0.23162664803666644,OK,0.9032073020935059,heel,0.9999931454658508,0.9985098838806152,0.9106399416923523,0.9377034306526184,0.9032073020935059,0.9278832674026489
21,1.2287228107452393,left,left,149.0549079333078,30.94509206669221,154.2887701050099,25.71122989499011,5.794285528635345,88.40406059121705,5.96931720638824,9.432208291554474,2.3037154870054053,OK,0.9086007475852966,heel,0.9999932050704956,0.9986037611961365,0.913993775844574,0.93937748670578,0.9086007475852966,0.9300126433372498
22,1.285829782485962,left,left,146.85583359911297,33.14416640088703,151.66276293618475,28.33723706381525,6.8564057502917635,88.09886230189082,6.274515495714468,9.762197389254347,2.6337045847052707,OK,0.9153739809989929,heel,0.9999938011169434,0.9987366199493408,0.9195942878723145,0.9436261057853699,0.9153739809989929,0.9346012473106384
23,1.3543484210968018,left,left,134.76473792297844,45.23526207702156,139.43052770694385,40.56947229305615,10.23621140788049,84.9849577572839,9.388420040321392,9.886958949129811,2.758466144580723,OK,0.9203636050224304,heel,0.999994158744812,0.9988579750061035,0.9243770837783813,0.9471321105957031,0.9203636050224304,0.9376675486564636
24,1.4121689796447754,left,left,124.0572361367725,55.9427638632275,131.07879893947626,48.92120106052374,11.08475484047505,81.84340097590506,12.529976821700231,9.949718619083862,2.8212258145347846,OK,0.9242763519287109,heel,0.9999945163726807,0.998969316482544,0.9284828901290894,0.9503201842308044,0.9242763519287109,0.9405509829521179
25,1.4759869575500488,left,left,122.63520844550906,57.364791554490935,129.45905668206908,50.540943317930925,12.186441082533523,78.2893661669011,16.084011630704182,7.299655485994663,0.171162681445594,OK,0.9287816286087036,heel,0.999994158744812,0.999066948890686,0.9330959916114807,0.9538792371749878,0.9287816286087036,0.9443797469139099
26,1.532280683517456,left,left,115.34044873181023,64.65955126818977,122.02293318946273,57.977066810537266,13.329225344774702,77.52761197511882,16.84576582248647,7.539321777546015,0.41082897299693855,OK,0.9345532059669495,heel,0.9999895691871643,0.9991480708122253,0.9389427900314331,0.9578438997268677,0.9345532059669495,0.9488930702209473
27,1.589442253112793,left,left,111.04516760461843,68.95483239538157,117.73184603722348,62.26815396277652,14.592960720140525,76.71599992258805,17.657377875017232,7.995639075333647,0.8671462707845592,OK,0.9402653574943542,heel,0.9999794960021973,0.9992243051528931,0.9442833662033081,0.9616647362709045,0.9402653574943542,0.9534568786621094
28,1.6554646492004395,left,left,111.7618795416976,68.2381204583024,116.01063898953194,63.98936101046806,16.24885023665493,76.58932603495606,17.784051762649227,7.086935719445324,-0.04155708510376144,OK,0.9453086256980896,heel,0.9999701976776123,0.9992939829826355,0.9489969611167908,0.9650289416313171,0.9453086256980896,0.9574073553085327
29,1.7122676372528076,left,left,103.34999315877508,76.65000684122492,107.1083876620267,72.8916123379733,17.75937269242812,75.98863989082936,18.384737906775925,7.506407086509105,0.37791428196001675,OK,0.9499136209487915,heel,0.9999620914459229,0.999358057975769,0.9532579779624939,0.9680658578872681,0.9499136209487915,0.9610638618469238
