rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,pelvis_amplitude,movement_threshold,descent_duration_s,ascent_duration_s,left_min_fppa,right_min_fppa,left_fppa_at_bottom,right_fppa_at_bottom,left_peak_deviation_percent,left_peak_signed_deviation_percent,left_peak_deviation_direction,left_peak_deviation_time_s,left_peak_deviation_time_from_start_s,left_peak_deviation_cycle_percent,left_peak_deviation_phase,right_peak_deviation_percent,right_peak_signed_deviation_percent,right_peak_deviation_direction,right_peak_deviation_time_s,right_peak_deviation_time_from_start_s,right_peak_deviation_cycle_percent,right_peak_deviation_phase,left_alignment_at_bottom,right_alignment_at_bottom,left_signed_deviation_percent_at_bottom,right_signed_deviation_percent_at_bottom,left_knee_deviation_percent_at_bottom,right_knee_deviation_percent_at_bottom,left_peak_valgus_percent,right_peak_valgus_percent,left_peak_varus_percent,right_peak_varus_percent,left_max_deviation_percent,right_max_deviation_percent,frontal_amplitude_difference_percent,frontal_amplitude_asymmetry_index_percent,greater_deviation_side,frontal_peak_timing_difference_s,earlier_peak_side,frontal_peak_timing_difference_cycle_percent,bilateral_peak_pattern,mean_descent_velocity,mean_ascent_velocity,peak_descent_velocity,peak_ascent_velocity,velocity_unit,pelvis_y_at_bottom,quality_percent
1,17,30,68,0.81,1.37,3.02,2.21,0.09,0.5929,0.56,1.65,149.2,151.8,149.2,152.6,13.79,13.79,varus,1.37,0.56,25.5,ascent,12.54,12.54,varus,2.36,1.55,70.2,ascent,varus,varus,13.79,12.18,13.79,12.18,0.08,-0.3,13.79,12.54,13.79,12.54,1.25,9.5,left,0.99,left,44.7,bilateral_varus,0.1472,0.0513,0.2419,0.283,normalized_coordinate_per_second,0.678,100.0
2,17,54,68,0.81,2.4,3.02,2.21,0.087,0.5928,1.59,0.62,149.2,151.8,149.9,152.4,13.79,13.79,varus,1.37,0.56,25.5,descent,12.54,12.54,varus,2.36,1.55,70.2,descent,varus,varus,13.45,12.29,13.45,12.29,0.08,-0.3,13.79,12.54,13.79,12.54,1.25,9.5,left,0.99,left,44.7,bilateral_varus,0.0504,0.1328,0.2419,0.1877,normalized_coordinate_per_second,0.676,100.0
3,77,92,105,3.37,3.96,4.48,1.11,0.077,0.5924,0.59,0.52,173.5,165.9,173.6,166.9,2.84,-2.84,valgus,3.68,0.31,28.3,descent,6.13,-6.13,valgus,4.08,0.71,63.9,ascent,valgus,valgus,-2.76,-5.69,2.76,5.69,-2.84,-6.13,0.58,0.2,2.84,6.13,3.29,73.4,right,0.4,left,35.6,bilateral_valgus,0.1252,0.14,0.2999,0.2335,normalized_coordinate_per_second,0.666,100.0
4,109,123,136,4.64,5.23,5.77,1.13,0.072,0.5922,0.59,0.54,172.0,168.7,172.6,169.3,3.49,-3.49,valgus,4.96,0.32,28.2,descent,4.9,-4.9,valgus,5.06,0.42,36.9,descent,valgus,valgus,-3.17,-4.62,3.17,4.62,-3.49,-4.9,1.61,0.87,3.49,4.9,1.41,33.6,right,0.1,left,8.7,bilateral_valgus,0.1165,0.1293,0.222,0.3516,normalized_coordinate_per_second,0.66,100.0
5,140,154,169,5.94,6.53,7.16,1.22,0.088,0.5929,0.59,0.63,145.8,152.6,145.8,152.6,15.38,15.38,varus,6.53,0.59,48.0,descent,12.18,12.18,varus,6.53,0.59,48.0,descent,varus,varus,15.38,12.18,15.38,12.18,2.07,1.21,15.38,12.18,15.38,12.18,3.2,23.2,left,0.0,simultaneous,0.0,bilateral_varus,0.1382,0.1305,0.2731,0.2145,normalized_coordinate_per_second,0.677,100.0
