repetition,duration_s,descent_duration_s,ascent_duration_s,left_alignment_at_bottom,right_alignment_at_bottom,left_deviation_at_bottom_percent,right_deviation_at_bottom_percent,left_max_deviation_percent,right_max_deviation_percent,left_fppa_at_bottom_deg,right_fppa_at_bottom_deg,pelvis_amplitude,quality_percent,left_peak_deviation_percent,left_peak_deviation_direction,left_peak_deviation_time_from_start_s,left_peak_deviation_cycle_percent,left_peak_deviation_phase,right_peak_deviation_percent,right_peak_deviation_direction,right_peak_deviation_time_from_start_s,right_peak_deviation_cycle_percent,right_peak_deviation_phase,mean_descent_velocity,peak_descent_velocity,mean_ascent_velocity,peak_ascent_velocity,velocity_unit,frontal_amplitude_difference_percent,frontal_amplitude_asymmetry_index_percent,greater_deviation_side,frontal_peak_timing_difference_s,frontal_peak_timing_difference_cycle_percent,earlier_peak_side,bilateral_peak_pattern
1,2.21,0.56,1.65,varus,varus,13.79,12.18,13.79,12.54,149.2,152.6,0.09,100.0,13.79,varus,0.56,25.5,ascent,12.54,varus,1.55,70.2,ascent,0.1472,0.2419,0.0513,0.283,normalized_coordinate_per_second,1.25,9.5,left,0.99,44.7,left,bilateral_varus
2,2.21,1.59,0.62,varus,varus,13.45,12.29,13.79,12.54,149.9,152.4,0.087,100.0,13.79,varus,0.56,25.5,descent,12.54,varus,1.55,70.2,descent,0.0504,0.2419,0.1328,0.1877,normalized_coordinate_per_second,1.25,9.5,left,0.99,44.7,left,bilateral_varus
3,1.11,0.59,0.52,valgus,valgus,-2.76,-5.69,2.84,6.13,173.6,166.9,0.077,100.0,2.84,valgus,0.31,28.3,descent,6.13,valgus,0.71,63.9,ascent,0.1252,0.2999,0.14,0.2335,normalized_coordinate_per_second,3.29,73.4,right,0.4,35.6,left,bilateral_valgus
4,1.13,0.59,0.54,valgus,valgus,-3.17,-4.62,3.49,4.9,172.6,169.3,0.072,100.0,3.49,valgus,0.32,28.2,descent,4.9,valgus,0.42,36.9,descent,0.1165,0.222,0.1293,0.3516,normalized_coordinate_per_second,1.41,33.6,right,0.1,8.7,left,bilateral_valgus
5,1.22,0.59,0.63,varus,varus,15.38,12.18,15.38,12.18,145.8,152.6,0.088,100.0,15.38,varus,0.59,48.0,descent,12.18,varus,0.59,48.0,descent,0.1382,0.2731,0.1305,0.2145,normalized_coordinate_per_second,3.2,23.2,left,0.0,0.0,simultaneous,bilateral_varus
