frame,time_s,left_fppa,right_fppa,pelvis_y,visibility_check,left_alignment,right_alignment,left_alignment_index,right_alignment_index,left_signed_deviation_percent,right_signed_deviation_percent,left_knee_deviation_percent,right_knee_deviation_percent,pelvis_y_filtered,pelvis_velocity
0,0.0,179.43001486008683,178.86711202726943,0.5895537436008453,OK,neutral,neutral,-0.002485338596039086,-0.004932871263714588,-0.24853385960390859,-0.4932871263714588,0.24853385960390859,0.4932871263714588,0.589430421590805,-0.0016993873848253093
1,0.04218173027038574,179.3785246075156,178.89385762226627,0.5893920361995697,OK,neutral,neutral,-0.002709992492212502,-0.00481741622272415,-0.27099924922125024,-0.48174162227241496,0.27099924922125024,0.48174162227241496,0.5893587384905135,-0.0014739245773034426
2,0.1204535961151123,179.28728219302246,178.94348126531162,0.5892524719238281,OK,neutral,neutral,-0.003107860726750135,-0.00460101473291594,-0.3107860726750135,-0.460101473291594,0.3107860726750135,0.460101473291594,0.5892761179379055,-0.0011429578694457376
3,0.16551947593688965,179.21561432597667,178.97979877480645,0.5891534686088562,OK,neutral,neutral,-0.0034203556451848434,-0.00444266151831683,-0.3420355645184843,-0.444266151831683,0.3420355645184843,0.444266151831683,0.589222341775894,-0.0009601372977758871
4,0.20878863334655762,179.18007739449044,178.96397697839666,0.5890519618988037,OK,neutral,neutral,-0.003575294777610144,-0.004511634427736976,-0.3575294777610144,-0.4511634427736976,0.3575294777610144,0.4511634427736976,0.5891904830932616,-0.0006045539955863433
5,0.2527196407318115,179.16679859510273,178.93641058579414,0.5889753997325897,OK,neutral,neutral,-0.003633191472716481,-0.00463177660771958,-0.3633191472716481,-0.463177660771958,0.3633191472716481,0.463177660771958,0.5891698002815247,-0.0001398333929216733
6,0.29810237884521484,179.1605218531301,178.91211120935532,0.5891773104667664,OK,neutral,neutral,-0.0036603670253724657,-0.004737291368954021,-0.36603670253724657,-0.47372913689540214,0.36603670253724657,0.47372913689540214,0.5891789708818708,0.0004609769047068113
7,0.3420834541320801,179.15575929805468,178.88778267453117,0.5893307328224182,OK,neutral,neutral,-0.003681018049272874,-0.0048431187028328436,-0.3681018049272874,-0.4843118702832844,0.3681018049272874,0.4843118702832844,0.5892102803502763,0.0009154216891467115
8,0.3808300495147705,179.21163534251093,178.88542861235186,0.5892472565174103,OK,neutral,neutral,-0.003437593768588329,-0.004853281775080119,-0.3437593768588329,-0.48532817750801194,0.3437593768588329,0.48532817750801194,0.5892526975699832,0.0009959755073700727
9,0.44066405296325684,179.2016483151412,178.90992838328097,0.5893166661262512,OK,neutral,neutral,-0.0034811084974986717,-0.0047456430300312795,-0.34811084974986717,-0.47456430300312796,0.34811084974986717,0.47456430300312796,0.5893031656742096,0.0005954939600751885
10,0.49541521072387695,179.20228969859727,178.920615789814,0.5893726348876953,OK,neutral,neutral,-0.0034782991167665754,-0.004698481847100145,-0.34782991167665755,-0.46984818471001455,0.34782991167665755,0.46984818471001455,0.5893233461039407,0.00012570788358878815
11,0.5381996631622314,179.20031316257032,178.90179488364996,0.5893488824367523,OK,neutral,neutral,-0.003486778229516376,-0.004780288825267679,-0.3486778229516376,-0.47802888252676784,0.3486778229516376,0.47802888252676784,0.589320604290281,4.6563650013986546e-05
12,0.5813348293304443,179.19700334027212,178.8874546610257,0.5893286764621735,OK,neutral,neutral,-0.0035011217392813014,-0.004842590270468606,-0.35011217392813015,-0.4842590270468606,0.35011217392813015,0.4842590270468606,0.5893274247646332,4.806547123425986e-05
13,0.6283090114593506,179.21593413182305,178.97953354509715,0.589318573474884,OK,neutral,neutral,-0.0034185547125609094,-0.004441961989101696,-0.34185547125609095,-0.4441961989101696,0.34185547125609095,0.4441961989101696,0.5893240528447288,0.0006741660466360599
14,0.6652603149414062,179.2264716998748,179.0608671387845,0.5893115401268005,OK,neutral,neutral,-0.0033725917622105753,-0.004088047190330237,-0.33725917622105756,-0.4088047190330237,0.33725917622105756,0.4088047190330237,0.5893706466470446,0.00569475391316665
15,0.7054615020751953,179.28566096473946,178.97403320208937,0.5892949998378754,OK,neutral,neutral,-0.0031142200517005167,-0.00446627460974668,-0.3114220051700517,-0.44662746097466804,0.3114220051700517,0.44662746097466804,0.5897935032844542,0.01065480434743371
16,0.7628393173217773,179.32941978892111,178.9225203710048,0.5892930626869202,OK,neutral,neutral,-0.00292326680932153,-0.004690646807641306,-0.29232668093215297,-0.4690646807641306,0.29232668093215297,0.4690646807641306,0.5904160141944885,0.030844503603300488
17,0.8080501556396484,179.8169190390099,179.3046364961732,0.5896987915039062,OK,neutral,neutral,0.0007979895262208108,-0.003026781559773214,0.07979895262208107,-0.3026781559773214,0.07979895262208107,0.3026781559773214,0.5925228255135672,0.053977177398148335
18,0.8488426208496094,176.0738133893875,178.84297042380197,0.5923088788986206,OK,neutral,neutral,0.017108644345356312,0.005035862389934508,1.7108644345356312,0.5035862389934508,1.7108644345356312,0.5035862389934508,0.5949962224279131,0.08678571616840447
19,0.8900551795959473,174.59836305008156,178.01742238671056,0.5936862528324127,OK,varus,neutral,0.023537473839865417,0.008629310646697691,2.3537473839865415,0.8629310646697691,2.3537473839865415,0.8629310646697691,0.5996617759977069,0.12800560441264963
20,0.9256198406219482,170.11571023389095,173.12838003388978,0.6040662527084351,OK,varus,varus,0.04318117649891183,0.029984523104579625,4.318117649891183,2.9984523104579623,4.318117649891183,2.9984523104579623,0.6046684299196515,0.14944175912223479
21,0.9695463180541992,168.87357518978672,171.5068751552134,0.6066253185272217,OK,varus,varus,0.04863792710460078,0.03708395671435475,4.8637927104600776,3.708395671435475,4.8637927104600776,3.708395671435475,0.6117030297006879,0.15263125430072133
22,1.0160763263702393,165.56573376815,168.13898694886888,0.6219538748264313,OK,varus,varus,0.06328000921350999,0.05191899112226666,6.3280009213509985,5.191899112226666,6.3280009213509985,5.191899112226666,0.6184346335274832,0.21818923903323117
23,1.0518114566802979,164.94255084839605,166.8592009086762,0.6243396401405334,OK,varus,varus,0.06603109623290865,0.05756171888383915,6.603109623290865,5.756171888383915,6.603109623290865,5.756171888383915,0.6282493003777095,0.24190995138552385
24,1.1020419597625732,161.60615927297664,164.95829110231472,0.6389409899711609,OK,varus,varus,0.08094063928357423,0.06601069196891354,8.094063928357423,6.601069196891355,8.094063928357423,6.601069196891355,0.6380888989993505,0.22224737368821046
25,1.141472339630127,160.93527474274038,163.41627074643756,0.6394301056861877,OK,varus,varus,0.0839479283389376,0.07286713647017941,8.39479283389376,7.286713647017941,8.39479283389376,7.286713647017941,0.6476680551256451,0.21970457968147006
26,1.1822645664215088,154.83850993393443,156.9355251970613,0.6623889207839966,OK,varus,varus,0.11158622184916331,0.10201830139422687,11.15862218491633,10.201830139422686,11.15862218491633,10.201830139422686,0.6556497982570102,0.18008602082354663
27,1.229954481124878,151.15632073797084,152.27048272057627,0.6729434430599213,OK,varus,varus,0.12853966580946435,0.12333176333861917,12.853966580946436,12.333176333861918,12.853966580946436,12.333176333861918,0.6633693150111607,0.13020626880554342
28,1.286510944366455,150.6949125607277,152.58663740742296,0.6736794114112854,OK,varus,varus,0.1307049832812809,0.12181365819516009,13.07049832812809,12.181365819516008,13.07049832812809,12.181365819516008,0.6686096574578966,0.11687029015294215
29,1.3246502876281738,149.81698060107004,152.4527292173045,0.6778260767459869,OK,varus,varus,0.1348284203851013,0.12256730300764389,13.482842038510128,12.256730300764389,13.482842038510128,12.256730300764389,0.673689774104527,0.08638693735161329
30,1.3736886978149414,149.16232327619414,152.61579455694266,0.6783762574195862,OK,varus,varus,0.13789723275608037,0.12177162617446995,13.789723275608038,12.177162617446994,13.789723275608038,12.177162617446994,0.6749744628156935,0.0096329705727074
