rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,descent_duration_s,ascent_duration_s,peak_knee_flexion_deg,peak_prominence_deg,boundary_threshold_deg,quality_percent,interpolated_percent
1,68,99,119,3.666,5.427,6.319,2.653,1.761,0.892,94.8,75.11,9.48,100.0,0.0
2,130,173,187,6.81,8.892,9.591,2.781,2.082,0.699,96.27,57.45,9.63,100.0,0.0
3,200,242,255,10.2,12.131,12.751,2.551,1.931,0.62,96.13,59.92,9.61,100.0,0.0
4,282,319,336,13.958,15.741,16.528,2.571,1.783,0.787,138.93,100.09,13.89,100.0,0.0
5,347,382,402,17.068,18.656,19.557,2.489,1.588,0.901,137.89,113.41,13.79,100.0,0.0
6,414,450,471,20.121,21.762,22.697,2.575,1.641,0.934,140.0,112.53,14.0,100.0,0.0
7,487,508,521,23.45,24.465,25.135,1.684,1.015,0.67,63.44,61.71,6.34,100.0,0.0
8,529,551,563,25.551,26.692,27.35,1.799,1.141,0.658,51.93,50.2,5.19,100.0,0.0
9,570,589,605,27.76,28.887,29.703,1.943,1.127,0.816,53.3,52.12,5.33,100.0,0.0
