rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,descent_duration_s,ascent_duration_s,descent_ascent_time_ratio,mean_knee_descent_velocity_deg_s,mean_knee_ascent_velocity_deg_s,knee_flexion_at_bottom_deg,peak_knee_flexion_deg,hip_flexion_at_bottom_deg,peak_hip_flexion_deg,peak_hip_flexion_cycle_percent,peak_hip_flexion_phase,trunk_flexion_at_bottom_deg,peak_trunk_flexion_deg,peak_trunk_flexion_cycle_percent,peak_trunk_flexion_phase,ankle_dorsiflexion_at_bottom_deg,peak_ankle_dorsiflexion_deg,foot_inclination_at_bottom_deg,peak_foot_inclination_deg,heel_lift_screening,heel_lift_threshold_deg,quality_percent,interpolated_percent
1,68,99,119,3.666,5.427,6.319,2.653,1.761,0.892,1.974,49.01,97.11,94.8,94.8,98.01,98.01,66.4,bottom,27.99,28.44,71.1,ascent,19.84,20.97,4.94,6.76,below_experimental_threshold,20.0,100.0,0.0
2,130,173,187,6.81,8.892,9.591,2.781,2.082,0.699,2.979,41.67,126.14,96.27,96.27,96.23,96.23,74.9,bottom,26.79,26.79,74.9,bottom,15.64,22.66,11.19,12.17,below_experimental_threshold,20.0,100.0,0.0
3,200,242,255,10.2,12.131,12.751,2.551,1.931,0.62,3.115,45.38,141.16,96.13,96.13,98.87,98.87,75.7,bottom,27.58,27.64,77.5,ascent,20.8,21.05,4.05,6.69,below_experimental_threshold,20.0,100.0,0.0
4,282,319,336,13.958,15.741,16.528,2.57,1.783,0.787,2.266,71.73,159.46,138.93,138.93,139.4,139.4,69.4,bottom,29.1,29.58,74.9,ascent,19.5,21.91,9.14,15.88,below_experimental_threshold,20.0,100.0,0.0
5,347,382,402,17.068,18.656,19.557,2.489,1.588,0.901,1.762,80.39,142.45,137.89,137.89,139.06,139.06,63.8,bottom,27.96,28.72,73.6,ascent,18.87,22.66,7.92,10.39,below_experimental_threshold,20.0,100.0,0.0
6,414,450,471,20.121,21.762,22.697,2.576,1.641,0.935,1.755,79.02,139.75,140.0,140.0,137.72,137.72,63.7,bottom,26.69,27.28,70.5,ascent,20.26,22.71,8.7,11.46,below_experimental_threshold,20.0,100.0,0.0
7,487,508,521,23.45,24.465,25.135,1.685,1.015,0.67,1.515,58.41,86.1,63.44,63.44,81.6,81.6,60.2,bottom,34.04,34.04,62.6,ascent,15.11,15.11,0.77,6.28,below_experimental_threshold,20.0,100.0,0.0
8,529,551,563,25.551,26.692,27.35,1.799,1.141,0.658,1.734,41.19,72.07,51.93,51.93,82.61,82.61,63.4,bottom,40.61,40.61,63.4,bottom,11.28,11.76,-1.35,4.51,below_experimental_threshold,20.0,100.0,0.0
9,570,589,605,27.76,28.887,29.703,1.943,1.127,0.816,1.381,43.31,59.25,53.3,53.3,86.43,87.44,63.6,ascent,42.64,43.68,66.4,ascent,9.92,10.56,-0.42,3.45,below_experimental_threshold,20.0,100.0,0.0
