frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
16,0.9306824207305908,left,left,178.59962074962198,-1.4003792503780232,171.98315880424946,-8.016841195750544,-5.67720176202337,94.06373485737112,-0.689447684553329,5.002995040720232,0.6872551112443546,OK,0.837147057056427
17,0.988574743270874,left,left,178.6406423952363,-1.3593576047636873,171.9689092393694,-8.031090760630605,-5.679812076846461,94.13352657532737,-0.7592394025095786,5.125447654347813,0.8097077248719415,OK,0.83891761302948
18,1.0473921298980713,left,left,178.60447933792224,-1.3955206620777574,171.94464029728107,-8.055359702718931,-5.680994213841417,93.89106593882455,-0.516778766006766,4.869910765624307,0.5541708361484154,OK,0.8393280506134033
19,1.1127727031707764,left,left,178.5768058503471,-1.4231941496528862,171.92004406388247,-8.079955936117528,-5.691528779879625,93.77152573454406,-0.3972385617262688,4.736758741129087,0.4210188116531981,OK,0.8397279381752014
20,1.1794228553771973,left,left,178.52675717572714,-1.4732428242728588,171.87210271844287,-8.127897281557125,-5.724816991020619,93.82366061528819,-0.449373442470403,4.753498081551822,0.4377581520759293,OK,0.8414720892906189
21,1.234065055847168,left,left,178.34369503492314,-1.6563049650768562,171.68547549197552,-8.314524508024476,-5.788397690530624,93.47309834066805,-0.09881116785025768,4.342920193085048,0.0271802636091536,OK,0.8425456285476685
22,1.2802879810333252,left,left,178.1999981767277,-1.8000018232723107,171.5362780570017,-8.46372194299829,-5.836332743075799,93.20015102050176,0.17413615231602364,4.0275383971519725,-0.2882015323239102,OK,0.8434916138648987
23,1.323603868484497,left,left,178.00471861108747,-1.995281388912531,171.4395751622372,-8.56042483776281,-5.862463542915517,92.95865568908224,0.41563148373555237,3.6613355950170132,-0.6544043344588601,OK,0.8446988463401794
24,1.378406047821045,left,left,177.87588457812512,-2.124115421874876,171.42587317945427,-8.574126820545729,-5.861183272557759,93.15660017988067,0.2176869929371179,3.745428305993757,-0.5703116234821266,OK,0.8459028005599976
25,1.4338569641113281,left,left,177.78756484386852,-2.212435156131477,171.42285418743114,-8.577145812568858,-5.857933858576689,93.3169359500661,0.057351222751691466,3.8237127479267934,-0.49202718154907643,OK,0.8469725847244263
26,1.4975543022155762,left,left,177.79177837466008,-2.2082216253399167,171.50020290238018,-8.499797097619819,-5.799324439726998,93.87196653817674,-0.4976793653589482,4.364217570729659,0.04847764125378262,OK,0.8470442295074463
27,1.552945852279663,left,left,177.85756624646962,-2.1424337535303835,171.5883256153396,-8.411674384660387,-5.772879453449337,94.24812046515322,-0.8738332923354335,4.744481642833889,0.428741713358022,OK,0.8469343781471252
28,1.6145408153533936,left,left,177.83088464361563,-2.169115356384367,171.61522239895837,-8.384777601041634,-5.753515871906404,93.75946867114509,-0.38518149832729875,4.2216150438959605,-0.09412488557993015,OK,0.8481385707855225
29,1.6688082218170166,left,left,178.25752012465776,-1.7424798753422408,171.9167923140491,-8.083207685950896,-5.662604650121893,93.49602250013194,-0.12173532731415548,4.174145660618718,-0.14159426885717608,OK,0.8494734168052673
30,1.7177729606628418,left,left,178.52825198816655,-1.471748011833455,172.11805863299477,-7.881941367005226,-5.597497461322302,93.32459848484605,0.04968868797173798,4.137294378695515,-0.17844555078036706,OK,0.8506651520729065
31,1.770310401916504,left,left,178.49997825216886,-1.5000217478311413,172.06385685391604,-7.936143146083964,-5.610857020928509,92.71232273986978,0.661964432948011,3.5375871171940956,-0.7781528122817747,OK,0.8523666858673096
32,1.8145115375518799,left,left,178.47904925702412,-1.5209507429758844,172.0200435167257,-7.979956483274293,-5.62176910604335,92.27291684221257,1.1013703306052207,3.110153476467614,-1.2055864530082658,OK,0.8539572358131409
33,1.8630402088165283,left,left,178.74819788281945,-1.2518021171805458,172.05340078266994,-7.946599217330061,-5.650813721436085,92.06917319099928,1.3051139818185078,3.1131565697126953,-1.2025833597631959,OK,0.8554523587226868
34,1.913313865661621,left,left,178.72339458172817,-1.2766054182718278,172.215094718955,-7.784905281045013,-5.471852897372665,92.45096463847871,0.9233225343390785,3.487411603879215,-0.828328325596658,OK,0.8548922538757324
35,1.9618566036224365,left,left,178.7084786501231,-1.2915213498768878,172.31555838995544,-7.6844416100445585,-5.361887224390505,92.67174971793678,0.7025374548810106,3.702782753713933,-0.6129571757619487,OK,0.8543521761894226
36,2.005532741546631,left,left,178.68215602545231,-1.317843974547685,172.26689433821664,-7.733105661783355,-5.387396969191291,92.9916096748737,0.382677497944087,4.019474392918053,-0.2962655365578257,OK,0.8548634052276611
37,2.0471034049987793,left,left,178.6564298201606,-1.3435701798393893,172.22444074461697,-7.77555925538303,-5.4075549931620595,93.20416536403454,0.17012180878325012,4.22859944641611,-0.08714048305978395,OK,0.8554117679595947
38,2.0936999320983887,left,left,178.5772528514631,-1.4227471485368994,172.21311227307353,-7.786887726926466,-5.387489182880792,93.71434927372671,-0.3400621009089235,4.691000669235485,0.3752607397595966,OK,0.8559024930000305
