frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,quality_valid,knee_flexion_relative_deg,hip_flexion_relative_deg,trunk_flexion_relative_deg,knee_flexion_interpolated_deg,knee_flexion_filtered_deg,knee_flexion_was_interpolated,hip_flexion_interpolated_deg,hip_flexion_filtered_deg,hip_flexion_was_interpolated,trunk_flexion_interpolated_deg,trunk_flexion_filtered_deg,trunk_flexion_was_interpolated,ankle_dorsiflexion_interpolated_deg,ankle_dorsiflexion_filtered_deg,ankle_dorsiflexion_was_interpolated,foot_inclination_interpolated_deg,foot_inclination_filtered_deg,foot_inclination_was_interpolated,any_signal_was_interpolated,knee_angular_velocity_deg_s,signal_processing_valid
0,0.0,left,left,178.0113881556181,-1.988611844381893,171.58884608020148,-8.411153919798522,-5.759637761157612,92.4917769103002,0.8825102625175845,3.154681224559198,-1.1610587049166838,OK,0.8336204290390015,True,-0.06130012125416884,0.05097475225949211,-0.1662735688854129,-0.06130012125416884,-0.05382248560379884,False,0.05097475225949211,0.08039318958940574,False,-0.1662735688854129,-0.14842645391249606,False,0.8825102625175845,0.6543176180990334,False,-1.1610587049166838,-0.9369597472047436,False,False,0.566232519972353,True
1,0.06503105163574219,left,left,177.9575698089584,-2.0424301910416034,171.62430942205987,-8.375690577940134,-5.729468247258839,92.71838689002337,0.6559002827944198,3.322179029663065,-0.9935608998128203,OK,0.8330662846565247,True,-0.11511846791387925,0.08643809411788084,-0.1361040549866397,-0.11511846791387925,-0.01831560198998816,False,0.08643809411788084,0.04321307817585307,False,-0.1361040549866397,-0.18448978039392894,False,0.6559002827944198,0.6327306281652021,False,-0.9935608998128203,-0.8787490887249731,False,False,0.6373582565345939,True
2,0.1264944076538086,left,left,178.08763940922893,-1.9123605907710726,171.64163805033283,-8.35836194966717,-5.736265930137635,92.94974486383269,0.42454230898509593,3.6594802925911623,-0.6562596368847267,OK,0.8341440558433533,True,0.014951132356651575,0.10376672239084428,-0.14290173786543559,0.014951132356651575,0.014071737528905847,False,0.10376672239084428,0.0018018609943965202,False,-0.14290173786543559,-0.22334720332857075,False,0.42454230898509593,0.6510577510194195,False,-0.6562596368847267,-0.8621350778134854,False,False,0.6868633260779811,True
3,0.18826794624328613,left,left,178.16089332572372,-1.8391066742762803,171.46954407187718,-8.53045592812282,-5.886043952110427,92.80631751445408,0.5679696583637082,3.611622816190207,-0.7041171132856618,OK,0.8326134085655212,True,0.08820504885144387,-0.06832725606480494,-0.2926797598382276,0.08820504885144387,0.05771555973514082,False,-0.06832725606480494,-0.04835005541480086,False,-0.2926797598382276,-0.2639177256860554,False,0.5679696583637082,0.6353389562955982,False,-0.7041171132856618,-0.793191066831713,False,False,0.7348631892689933,True
4,0.24988055229187012,left,left,178.21630937247676,-1.7836906275232423,171.37402832021056,-8.625971679789444,-5.972141087339337,92.6499209303815,0.7243662424362896,3.5200608953083554,-0.7956790341675344,OK,0.8310348391532898,True,0.14362109560448189,-0.16384300773142968,-0.37877689506713796,0.14362109560448189,0.1189943471774599,False,-0.16384300773142968,-0.10761068583667566,False,-0.37877689506713796,-0.30856929579162423,False,0.7243662424362896,0.6743283227802749,False,-0.7956790341675344,-0.7562925855577702,False,False,0.787960951827425,True
5,0.30101799964904785,left,left,178.22960726664928,-1.7703927333507181,171.3380864981555,-8.66191350184451,-5.962490372945036,92.57037088391931,0.8039162888984777,3.4994012794680716,-0.8163386500078218,OK,0.8303107023239136,True,0.15691898977700602,-0.1997848297864948,-0.3691261806728363,0.15691898977700602,0.15958908179064238,False,-0.1997848297864948,-0.1348022612841305,False,-0.3691261806728363,-0.329882818417177,False,0.8039162888984777,0.642383719267005,False,-0.8163386500078218,-0.6778751946094133,False,False,0.8397794644376264,True
6,0.35412096977233887,left,left,178.26396374617,-1.736036253830008,171.3280062699505,-8.671993730049508,-5.952726097786683,92.52344005759998,0.8508471152178032,3.5066714360327764,-0.8090684934431067,OK,0.8301244974136353,True,0.1912754692977161,-0.20986505799149313,-0.35936190551448366,0.1912754692977161,0.20089572907392053,False,-0.20986505799149313,-0.08600623636810951,False,-0.35936190551448366,-0.29640679085414023,False,0.8508471152178032,0.5542399519885521,False,-0.8090684934431067,-0.563744777400666,False,False,0.8440727751193775,True
7,0.40697574615478516,left,left,178.29061308229484,-1.7093869177051602,171.50568017309556,-8.494319826904444,-5.842833543265399,93.10946788139904,0.26481929141874616,4.05156724733294,-0.26417268214294154,OK,0.8309645652770996,True,0.21792480542256398,-0.03219115484642998,-0.24946935099319933,0.21792480542256398,0.24452235078867388,False,-0.03219115484642998,0.009262801547669142,False,-0.24946935099319933,-0.22993551331401713,False,0.26481929141874616,0.39908092012161944,False,-0.26417268214294154,-0.3937568841946302,False,False,0.7961448514829892,True
8,0.46092748641967773,left,left,178.3674265621401,-1.6325734378598895,171.71352419645729,-8.286475803542714,-5.718663814295243,93.24703635084634,0.12725082197144388,4.182274902233943,-0.13346502724192533,OK,0.8328381776809692,True,0.29473828526783463,0.17565286851530004,-0.1252996220230438,0.29473828526783463,0.2945258948955315,False,0.17565286851530004,0.11761785981884146,False,-0.1252996220230438,-0.16364360040986642,False,0.12725082197144388,0.3426677032876796,False,-0.13346502724192533,-0.32940326862085956,False,False,0.7322546910435558,True
9,0.5188541412353516,left,left,178.43444248105052,-1.5655575189494755,171.85037350978945,-8.14962649021055,-5.639784699638722,93.42571608971616,-0.0514289168983737,4.37000036133852,0.05426043186264451,OK,0.8346090912818909,True,0.36175420417824866,0.3125021818474636,-0.04642050736652248,0.36175420417824866,0.34165271545730336,False,0.3125021818474636,0.23109040803730635,False,-0.04642050736652248,-0.09833877062435903,False,-0.0514289168983737,0.3361587906315009,False,0.05426043186264451,-0.32393525383586164,False,False,0.6513498266584017,True
10,0.5766322612762451,left,left,178.47962498718357,-1.5203750128164302,171.87986178951135,-8.120138210488648,-5.631030808424282,92.85243696808901,0.5218502047287785,3.8211693573369248,-0.4945705721389686,OK,0.8342382907867432,True,0.40693671031129397,0.34199046156936674,-0.03766661615208289,0.40693671031129397,0.3692336425447537,False,0.34199046156936674,0.2993196891994444,False,-0.03766661615208289,-0.05515416013786414,False,0.5218502047287785,0.36254841869113363,False,-0.4945705721389686,-0.34778862548368467,False,False,0.527418782577854,True
11,0.6325705051422119,left,left,178.49959784897885,-1.5004021510211487,171.89536901104282,-8.104630988957183,-5.626201948859146,92.55598462088088,0.8183025519369096,3.5340115099577547,-0.7817284195181173,OK,0.8342151045799255,True,0.42690957210657543,0.3574976831008314,-0.032837756586946654,0.42690957210657543,0.3947459444261484,False,0.3574976831008314,0.3532632430202739,False,-0.032837756586946654,-0.031034337572348213,False,0.8183025519369096,0.3005600873455904,False,-0.7817284195181173,-0.290111723512058,False,False,0.40366983319804844,True
12,0.6981277465820312,left,left,178.4285177177321,-1.5714822822679082,171.84682657890625,-8.153173421093754,-5.626910490832924,92.97751974110088,0.39676743171690987,3.9323003890938106,-0.3834395403820565,OK,0.8357186913490295,True,0.35582944085981594,0.30895525096426013,-0.033546298560724885,0.35582944085981594,0.41625637919240166,False,0.30895525096426013,0.3990497036290833,False,-0.033546298560724885,-0.018355009410938726,False,0.39676743171690987,0.20547558932710216,False,-0.3834395403820565,-0.2066239231747204,False,False,0.3840231319443463,True
13,0.7518458366394043,left,left,178.49498807154708,-1.505011928452916,171.98324196556143,-8.016758034438567,-5.598064701467663,93.55697800757406,-0.18269083475627212,4.470659412092077,0.15491948261620792,OK,0.8366256356239319,True,0.42229979467480816,0.4453706376194475,-0.004700509195464164,0.42229979467480816,0.42682765196532857,False,0.4453706376194475,0.4212430096419837,False,-0.004700509195464164,-0.027657580303181994,False,-0.18269083475627212,-0.001308252255574871,False,0.15491948261620792,-0.020764685724253697,False,False,0.4036541709914512,True
14,0.8144571781158447,left,left,178.5419946548818,-1.4580053451182096,172.0793058128335,-7.920694187166504,-5.576388058831674,93.9011385798086,-0.526851406990815,4.787439363025214,0.4716994335493325,OK,0.8373076319694519,True,0.4693063780095146,0.5414344848915107,0.016976133440524954,0.4693063780095146,0.4468322320939537,False,0.5414344848915107,0.4388009682833115,False,0.016976133440524954,-0.03785754293602679,False,-0.526851406990815,-0.3028582995536226,False,0.4716994335493325,0.2730320204282407,False,False,0.3724604863959695,True
15,0.870872974395752,left,left,178.5324813510482,-1.4675186489517955,171.99082831957585,-8.009171680424146,-5.6775436628854985,93.8863561760024,-0.5120690031846067,4.750465544589242,0.43472561511336494,OK,0.8347991704940796,True,0.45979307417592863,0.4529569916338687,-0.08417947061329922,0.45979307417592863,0.48925716759479787,False,0.4529569916338687,0.46321750037594145,False,-0.08417947061329922,-0.04843786013873412,False,-0.5120690031846067,-0.5340596663989203,False,0.43472561511336494,0.5116614734790403,False,False,0.331463669976089,True
16,0.9306824207305908,left,left,178.59962074962198,-1.4003792503780232,171.98315880424946,-8.016841195750544,-5.67720176202337,94.06373485737112,-0.689447684553329,5.002995040720232,0.6872551112443546,OK,0.837147057056427,True,0.5269324727497009,0.44528747630747034,-0.08383756975117063,0.5269324727497009,0.5111554208698295,False,0.44528747630747034,0.45549716671986856,False,-0.08383756975117063,-0.06502376261348478,False,-0.689447684553329,-0.600877252649019,False,0.6872551112443546,0.5915117441854818,False,False,0.20457203005907712,True
17,0.988574743270874,left,left,178.6406423952363,-1.3593576047636873,171.9689092393694,-8.031090760630605,-5.679812076846461,94.13352657532737,-0.7592394025095786,5.125447654347813,0.8097077248719415,OK,0.83891761302948,True,0.5679541183640369,0.4310379114274099,-0.08644788457426156,0.5679541183640369,0.5181176599628943,False,0.4310379114274099,0.42364481692966366,False,-0.08644788457426156,-0.08805190682307487,False,-0.7592394025095786,-0.5749546835961098,False,0.8097077248719415,0.581375619806255,False,False,-0.1148254293166098,True
18,1.0473921298980713,left,left,178.60447933792224,-1.3955206620777574,171.94464029728107,-8.055359702718931,-5.680994213841417,93.89106593882455,-0.516778766006766,4.869910765624307,0.5541708361484154,OK,0.8393280506134033,True,0.5317910610499668,0.40676896933908324,-0.0876300215692174,0.5317910610499668,0.5169728248986816,False,0.40676896933908324,0.3998996967030678,False,-0.0876300215692174,-0.09750657245009897,False,-0.516778766006766,-0.562415571453269,False,0.5541708361484154,0.5819821271987677,False,False,-0.5881572762452121,True
19,1.1127727031707764,left,left,178.5768058503471,-1.4231941496528862,171.92004406388247,-8.079955936117528,-5.691528779879625,93.77152573454406,-0.3972385617262688,4.736758741129087,0.4210188116531981,OK,0.8397279381752014,True,0.504117573474838,0.38217273594048606,-0.09816458760742552,0.504117573474838,0.465787681958915,False,0.38217273594048606,0.34036303424828135,False,-0.09816458760742552,-0.11974575815154971,False,-0.3972385617262688,-0.4442882681126548,False,0.4210188116531981,0.44996715767172757,False,False,-1.1661890345431432,True
20,1.1794228553771973,left,left,178.52675717572714,-1.4732428242728588,171.87210271844287,-8.127897281557125,-5.724816991020619,93.82366061528819,-0.449373442470403,4.753498081551822,0.4377581520759293,OK,0.8414720892906189,True,0.45406889885486534,0.33423139050088935,-0.13145279874841975,0.45406889885486534,0.37765883825719027,False,0.33423139050088935,0.2538367977747441,False,-0.13145279874841975,-0.15104989139741729,False,-0.449373442470403,-0.25761315714753436,False,0.4377581520759293,0.23038530623255724,False,False,-1.822195810698494,True
21,1.234065055847168,left,left,178.34369503492314,-1.6563049650768562,171.68547549197552,-8.314524508024476,-5.788397690530624,93.47309834066805,-0.09881116785025768,4.342920193085048,0.0271802636091536,OK,0.8425456285476685,True,0.27100675805086794,0.14760416403353815,-0.1950334982584243,0.27100675805086794,0.25770669289023557,False,0.14760416403353815,0.15282377076596845,False,-0.1950334982584243,-0.18734375721223734,False,-0.09881116785025768,-0.0711311071990707,False,0.0271802636091536,-0.011329727888897878,False,False,-2.3050955434096396,True
22,1.2802879810333252,left,left,178.1999981767277,-1.8000018232723107,171.5362780570017,-8.46372194299829,-5.836332743075799,93.20015102050176,0.17413615231602364,4.0275383971519725,-0.2882015323239102,OK,0.8434916138648987,True,0.1273098998554134,-0.0015932709402761702,-0.24296855080359947,0.1273098998554134,0.11752243844583758,False,-0.0015932709402761702,0.053989593880328354,False,-0.24296855080359947,-0.2212746557478642,False,0.17413615231602364,0.05185400373360664,False,-0.2882015323239102,-0.20959581491596282,False,False,-2.420488178367044,True
23,1.323603868484497,left,left,178.00471861108747,-1.995281388912531,171.4395751622372,-8.56042483776281,-5.862463542915517,92.95865568908224,0.41563148373555237,3.6613355950170132,-0.6544043344588601,OK,0.8446988463401794,True,-0.06796966578480679,-0.09829616570479516,-0.2690993506433177,-0.06796966578480679,-0.030316027925886013,False,-0.09829616570479516,-0.035860112322018266,False,-0.2690993506433177,-0.24789802925907817,False,0.41563148373555237,0.15319893677802554,False,-0.6544043344588601,-0.39555288164096397,False,False,-2.242956742942281,True
24,1.378406047821045,left,left,177.87588457812512,-2.124115421874876,171.42587317945427,-8.574126820545729,-5.861183272557759,93.15660017988067,0.2176869929371179,3.745428305993757,-0.5703116234821266,OK,0.8459028005599976,True,-0.19680369874715198,-0.11199814848771439,-0.2678190802855598,-0.19680369874715198,-0.1406993599784981,False,-0.11199814848771439,-0.0729146302410868,False,-0.2678190802855598,-0.2500833790983531,False,0.2176869929371179,0.07342529727628744,False,-0.5703116234821266,-0.39129340611203817,False,False,-1.6165325032001838,True
25,1.4338569641113281,left,left,177.78756484386852,-2.212435156131477,171.42285418743114,-8.577145812568858,-5.857933858576689,93.3169359500661,0.057351222751691466,3.8237127479267934,-0.49202718154907643,OK,0.8469725847244263,True,-0.28512343300375265,-0.11501714051084377,-0.26456966630448964,-0.28512343300375265,-0.20918574603011267,False,-0.11501714051084377,-0.06250511857350602,False,-0.26456966630448964,-0.23739272117306082,False,0.057351222751691466,-0.136168591654004,False,-0.49202718154907643,-0.2479047569756517,False,False,-0.5978643664496218,True
26,1.4975543022155762,left,left,177.79177837466008,-2.2082216253399167,171.50020290238018,-8.499797097619819,-5.799324439726998,93.87196653817674,-0.4976793653589482,4.364217570729659,0.04847764125378262,OK,0.8470442295074463,True,-0.2809099022121926,-0.0376684255618045,-0.20596024745479902,-0.2809099022121926,-0.24395253952447987,False,-0.0376684255618045,-0.02737567122927089,False,-0.20596024745479902,-0.21560318697123826,False,-0.4976793653589482,-0.2963311880665742,False,0.04847764125378262,-0.13584886719986572,False,False,0.4640383981276832,True
27,1.552945852279663,left,left,177.85756624646962,-2.1424337535303835,171.5883256153396,-8.411674384660387,-5.772879453449337,94.24812046515322,-0.8738332923354335,4.744481642833889,0.428741713358022,OK,0.8469343781471252,True,-0.21512203040265931,0.050454287397627695,-0.179515261177138,-0.21512203040265931,-0.16762543021795281,False,0.050454287397627695,0.0708081556896957,False,-0.179515261177138,-0.1758874624840651,False,-0.8738332923354335,-0.3642156521168289,False,0.428741713358022,-0.050105396274875605,False,False,1.3039118687038438,True
28,1.6145408153533936,left,left,177.83088464361563,-2.169115356384367,171.61522239895837,-8.384777601041634,-5.753515871906404,93.75946867114509,-0.38518149832729875,4.2216150438959605,-0.09412488557993015,OK,0.8481385707855225,True,-0.2418036332566429,0.0773510710163805,-0.16015167963420485,-0.2418036332566429,-0.01948800135834845,False,0.0773510710163805,0.20984904480242222,False,-0.16015167963420485,-0.12380018303318767,False,-0.38518149832729875,-0.3657481590728196,False,-0.09412488557993015,0.012610929878866273,False,False,2.0864682747566463,True
29,1.6688082218170166,left,left,178.25752012465776,-1.7424798753422408,171.9167923140491,-8.083207685950896,-5.662604650121893,93.49602250013194,-0.12173532731415548,4.174145660618718,-0.14159426885717608,OK,0.8494734168052673,True,0.18483184778548334,0.37892098610711855,-0.0692404578496939,0.18483184778548334,0.12215197414340664,False,0.37892098610711855,0.3225798351095932,False,-0.0692404578496939,-0.0861066992734898,False,-0.12173532731415548,-0.13381939941142776,False,-0.14159426885717608,-0.15271516082824518,False,False,2.5379108954324763,True
30,1.7177729606628418,left,left,178.52825198816655,-1.471748011833455,172.11805863299477,-7.881941367005226,-5.597497461322302,93.32459848484605,0.04968868797173798,4.137294378695515,-0.17844555078036706,OK,0.8506651520729065,True,0.4555637112942692,0.5801873050527888,-0.004133269050102584,0.4555637112942692,0.24644857625430644,False,0.5801873050527888,0.40892341538681193,False,-0.004133269050102584,-0.05588462979229227,False,0.04968868797173798,0.2612213251767031,False,-0.17844555078036706,-0.4795807941015028,False,False,2.4565040898650907,True
31,1.770310401916504,left,left,178.49997825216886,-1.5000217478311413,172.06385685391604,-7.936143146083964,-5.610857020928509,92.71232273986978,0.661964432948011,3.5375871171940956,-0.7781528122817747,OK,0.8523666858673096,True,0.42728997529658286,0.5259855259740505,-0.017492828656309634,0.42728997529658286,0.42991122409507077,False,0.5259855259740505,0.49655909212912663,False,-0.017492828656309634,-0.03534419969822853,False,0.661964432948011,0.5992804212058644,False,-0.7781528122817747,-0.7012724889381559,False,False,2.100483878206785,True
32,1.8145115375518799,left,left,178.47904925702412,-1.5209507429758844,172.0200435167257,-7.979956483274293,-5.62176910604335,92.27291684221257,1.1013703306052207,3.110153476467614,-1.2055864530082658,OK,0.8539572358131409,True,0.40636098015183975,0.48217218878372137,-0.028404913771150397,0.40636098015183975,0.5230861155091533,False,0.48217218878372137,0.5562195731103031,False,-0.028404913771150397,0.002806150851617062,False,1.1013703306052207,0.8082919935365112,False,-1.2055864530082658,-0.8386193002860522,False,False,1.7315657231705832,True
33,1.8630402088165283,left,left,178.74819788281945,-1.2518021171805458,172.05340078266994,-7.946599217330061,-5.650813721436085,92.06917319099928,1.3051139818185078,3.1131565697126953,-1.2025833597631959,OK,0.8554523587226868,True,0.6755096059471783,0.5155294547279539,-0.057449529163886126,0.6755096059471783,0.5591314479004666,False,0.5155294547279539,0.5957195245024366,False,-0.057449529163886126,0.04992819823797649,False,1.3051139818185078,0.9388617469183658,False,-1.2025833597631959,-0.9255216252823686,False,False,1.1186853247893407,True
34,1.913313865661621,left,left,178.72339458172817,-1.2766054182718278,172.215094718955,-7.784905281045013,-5.471852897372665,92.45096463847871,0.9233225343390785,3.487411603879215,-0.828328325596658,OK,0.8548922538757324,True,0.6507063048558963,0.6772233910130012,0.12151129489953405,0.6507063048558963,0.595567002557158,False,0.6772233910130012,0.6363270213625583,False,0.12151129489953405,0.09462020858542015,False,0.9233225343390785,0.883004359917581,False,-0.828328325596658,-0.8291441701375788,False,False,0.3912093048559685,True
35,1.9618566036224365,left,left,178.7084786501231,-1.2915213498768878,172.31555838995544,-7.6844416100445585,-5.361887224390505,92.67174971793678,0.7025374548810106,3.702782753713933,-0.6129571757619487,OK,0.8543521761894226,True,0.6357903732508363,0.7776870620134559,0.23147696788169458,0.6357903732508363,0.6310431151844569,False,0.7776870620134559,0.677206466940811,False,0.23147696788169458,0.13746303116167818,False,0.7025374548810106,0.6967546555531868,False,-0.6129571757619487,-0.6054549761478825,False,False,-0.06262380021085026,True
36,2.005532741546631,left,left,178.68215602545231,-1.317843974547685,172.26689433821664,-7.733105661783355,-5.387396969191291,92.9916096748737,0.382677497944087,4.019474392918053,-0.2962655365578257,OK,0.8548634052276611,True,0.609467748580039,0.7290230102746591,0.20596722308090865,0.609467748580039,0.5968541089131862,False,0.7290230102746591,0.7091487650215299,False,0.20596722308090865,0.1901279388727369,False,0.382677497944087,0.36771943900770054,False,-0.2962655365578257,-0.289886156243324,False,False,-0.29936619796831393,True
37,2.0471034049987793,left,left,178.6564298201606,-1.3435701798393893,172.22444074461697,-7.77555925538303,-5.4075549931620595,93.20416536403454,0.17012180878325012,4.22859944641611,-0.08714048305978395,OK,0.8554117679595947,True,0.5837415432883348,0.6865694166749847,0.18580919911013982,0.5837415432883348,0.5550453518781127,False,0.6865694166749847,0.7061645211300629,False,0.18580919911013982,0.20953434391779488,False,0.17012180878325012,0.047236094677992925,False,-0.08714048305978395,0.011179079987834939,False,False,-0.5526394395496549,True
38,2.0936999320983887,left,left,178.5772528514631,-1.4227471485368994,172.21311227307353,-7.786887726926466,-5.387489182880792,93.71434927372671,-0.3400621009089235,4.691000669235485,0.3752607397595966,OK,0.8559024930000305,True,0.5045645745908247,0.6752409451315486,0.20587500939140746,0.5045645745908247,0.5273332707071235,False,0.6752409451315486,0.6990360259684849,False,0.20587500939140746,0.21408050436121506,False,-0.3400621009089235,-0.25945058528750736,False,0.3752607397595966,0.30182833438734635,False,False,-0.6139245642920355,True
39,2.1344547271728516,left,left,178.5143507965528,-1.4856492034471955,172.20017349949765,-7.799826500502348,-5.374820872147375,94.05338136012725,-0.6790941873094596,4.9927377850350085,0.6769978555591365,OK,0.8563129901885986,True,0.4416625196805286,0.6623021715556661,0.21854332012482391,0.4416625196805286,0.514167739246642,False,0.6623021715556661,0.7158420264319204,False,0.21854332012482391,0.23003095072973972,False,-0.6790941873094596,-0.5110486107436089,False,0.6769978555591365,0.5394052742880604,False,False,-0.36923996318237434,True
40,2.178317070007324,left,left,178.56991824426817,-1.430081755731834,172.27991591414755,-7.720084085852449,-5.339156422173404,94.20518311776428,-0.8308959449464908,5.1560290257114865,0.8402890962356082,OK,0.8570199012756348,True,0.4972299673958902,0.7420445862055658,0.25420777009879547,0.4972299673958902,0.4803741027551441,False,0.7420445862055658,0.7527321617450753,False,0.25420777009879547,0.2736891326970065,False,-0.8308959449464908,-0.7325776369365429,False,0.8402890962356082,0.7339087106436069,False,False,-0.08519610017820316,True
41,2.223168134689331,left,left,178.6163283681499,-1.383671631850092,172.35092434053382,-7.6490756594661775,-5.307644737348667,94.24959980215421,-0.8753126293364204,5.207359092421621,0.8916191629457444,OK,0.8576269149780273,True,0.5436400912776322,0.8130530125918369,0.285719454923532,0.5436400912776322,0.4819318418584887,False,0.8130530125918369,0.8159355187138602,False,0.285719454923532,0.3216933457940918,False,-0.8753126293364204,-0.8370789591697786,False,0.8916191629457444,0.8247686281084896,False,False,0.0911258938674547,True
42,2.2708656787872314,left,left,178.48746163770312,-1.5125383622968798,172.40889142118274,-7.591108578817256,-5.1892640833257255,94.31181049499921,-0.9375233221814199,5.201116628193838,0.8853766987179483,OK,0.8575364947319031,True,0.4147733608308444,0.8710200932407588,0.40410010894647375,0.4147733608308444,0.5122964769396846,False,0.8710200932407588,0.8974760950353697,False,0.40410010894647375,0.37149425798076974,False,-0.9375233221814199,-0.8641570092754278,False,0.8853766987179483,0.8504716491604996,False,False,0.5174777207453365,True
43,2.3127641677856445,left,left,178.58504154697982,-1.4149584530201764,172.52912905791746,-7.470870942082541,-5.147468117395365,94.23685588489289,-0.8625687120751024,5.145300256559888,0.8295603270840104,OK,0.8563992381095886,True,0.5123532701075477,0.991257729975473,0.4458960748768339,0.5123532701075477,0.5367398267541603,False,0.991257729975473,0.9748568182063082,False,0.4458960748768339,0.4195763890274007,False,-0.8625687120751024,-0.8123160150986137,False,0.8295603270840104,0.7937754126738525,False,False,1.1092293329986067,True
44,2.368907928466797,left,left,178.66617397195878,-1.3338260280412157,172.6078763811052,-7.3921236188948,-5.125816311213986,94.1887716106555,-0.8144844378377059,5.121252890295062,0.8055129608191862,OK,0.8550043702125549,True,0.5934856950865084,1.0700050531632144,0.46754788105821365,0.5934856950865084,0.5495793542607659,False,1.0700050531632144,1.0439215639138753,False,0.46754788105821365,0.4655130198334151,False,-0.8144844378377059,-0.7236646322665081,False,0.8055129608191862,0.6948354424467993,False,False,1.491271118797274,True
45,2.4111239910125732,left,left,178.69213499334055,-1.3078650066594548,172.66681953000224,-7.333180469997757,-5.098745766940249,93.94597814688021,-0.5716909740624203,4.872547843278256,0.5568079138023734,OK,0.852962851524353,True,0.6194467164682693,1.1289482020602577,0.4946184253319501,0.6194467164682693,0.660154399060258,False,1.1289482020602577,1.1118825079016232,False,0.4946184253319501,0.48695146320578875,False,-0.5716909740624203,-0.5631180706785017,False,0.5568079138023734,0.5983414250429178,False,False,1.7257672218484483,True
46,2.4614217281341553,left,left,178.68052600568294,-1.3194739943170646,172.69624806907166,-7.3037519309283425,-5.077961583318595,93.80634288799368,-0.4320557151758919,4.712659241286358,0.39691931181047835,OK,0.8512117266654968,True,0.6078377288106596,1.158376741129672,0.5154026089536039,0.6078377288106596,0.7882764328943213,False,1.158376741129672,1.1603055331057477,False,0.5154026089536039,0.49906578599905893,False,-0.4320557151758919,-0.39324707349690013,False,0.39691931181047835,0.5202837592845185,False,False,1.922281877629736,True
47,2.508732318878174,left,left,179.04033686170058,-0.959663138299419,172.74869614112148,-7.251303858878515,-5.082071866463857,93.50907768705918,-0.13479051424138788,4.718646541174428,0.4029066116985405,OK,0.8496543169021606,True,0.9676485848283052,1.2108248131794994,0.5112923258083422,0.9676485848283052,0.8802682065628119,False,1.2108248131794994,1.1803959147530065,False,0.5112923258083422,0.4901507686739935,False,-0.13479051424138788,-0.22564359501953107,False,0.4029066116985405,0.4156666555033155,False,False,1.5797044092506773,True
48,2.5528388023376465,left,left,179.22565171615014,-0.7743482838498608,172.77124418393808,-7.22875581606192,-5.086896503429014,93.38750089898488,-0.01321372616709482,4.755011927767906,0.43927199829201413,OK,0.8482036590576172,True,1.1529634392778634,1.2333728559960946,0.5064676888431849,1.1529634392778634,0.9520815416602831,False,1.2333728559960946,1.1495465756381464,False,0.5064676888431849,0.44916843449846733,False,-0.01321372616709482,-0.14474364044995697,False,0.43927199829201413,0.3964470409705541,False,False,0.6302292346918592,True
49,2.6077778339385986,left,left,179.12613284030124,-0.8738671596987615,172.7083282893415,-7.291671710658505,-5.170391397839313,93.35075421826865,0.023532954549139617,4.598167371389062,0.28242744191317115,OK,0.8475300073623657,True,1.0534445634289626,1.170456961399509,0.42297279443288627,1.0534445634289626,1.015155920044441,False,1.170456961399509,1.0892716455073355,False,0.42297279443288627,0.38965585762321614,False,0.023532954549139617,-0.11724904956689101,False,0.28242744191317115,0.4327891817272018,False,False,-0.33497986567355637,True
50,2.657522439956665,left,left,179.0512016688279,-0.9487983311720996,172.51257283442794,-7.487427165572058,-5.30365743781788,93.54147837403234,-0.16719120121454978,4.7764497706144455,0.4607098411385664,OK,0.8484122157096863,True,0.9785133919556246,0.9747015064859568,0.28970675445431926,0.9785133919556246,0.95210303928082,False,0.9747015064859568,1.0242828214316717,False,0.28970675445431926,0.3396262567303143,False,-0.16719120121454978,-0.21235251329109134,False,0.4607098411385664,0.47979898787054365,False,False,-1.1306676032589702,True
