rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,pelvis_amplitude,movement_threshold,descent_duration_s,ascent_duration_s,left_min_fppa,right_min_fppa,left_fppa_at_bottom,right_fppa_at_bottom,left_peak_deviation_percent,left_peak_signed_deviation_percent,left_peak_deviation_direction,left_peak_deviation_time_s,left_peak_deviation_time_from_start_s,left_peak_deviation_cycle_percent,left_peak_deviation_phase,right_peak_deviation_percent,right_peak_signed_deviation_percent,right_peak_deviation_direction,right_peak_deviation_time_s,right_peak_deviation_time_from_start_s,right_peak_deviation_cycle_percent,right_peak_deviation_phase,left_alignment_at_bottom,right_alignment_at_bottom,left_signed_deviation_percent_at_bottom,right_signed_deviation_percent_at_bottom,left_knee_deviation_percent_at_bottom,right_knee_deviation_percent_at_bottom,left_peak_valgus_percent,right_peak_valgus_percent,left_peak_varus_percent,right_peak_varus_percent,left_max_deviation_percent,right_max_deviation_percent,mean_descent_velocity,mean_ascent_velocity,peak_descent_velocity,peak_ascent_velocity,velocity_unit,pelvis_y_at_bottom,quality_percent
1,57,81,99,2.42,3.39,4.09,1.67,0.058,0.4041,0.97,0.7,145.3,147.1,145.4,147.1,15.46,15.46,varus,3.43,1.01,60.4,ascent,14.72,14.72,varus,3.33,0.91,54.3,descent,varus,varus,15.43,14.71,15.43,14.71,1.37,0.96,15.46,14.72,15.46,14.72,0.057,0.082,0.1484,0.1346,normalized_coordinate_per_second,0.459,100.0
2,123,140,159,5.05,5.76,6.52,1.47,0.067,0.4045,0.71,0.76,146.1,152.2,146.2,152.4,15.04,15.04,varus,5.72,0.67,45.3,descent,12.28,12.28,varus,5.72,0.67,45.3,descent,varus,varus,14.94,12.19,14.94,12.19,1.78,1.08,15.04,12.28,15.04,12.28,0.0886,0.0829,0.1452,0.1512,normalized_coordinate_per_second,0.468,100.0
3,186,204,223,7.58,8.32,9.15,1.57,0.075,0.405,0.74,0.83,143.6,150.1,143.7,150.1,16.14,16.14,varus,8.32,0.74,47.2,ascent,13.25,13.25,varus,8.32,0.74,47.2,ascent,varus,varus,16.14,13.25,16.14,13.25,1.76,1.38,16.14,13.25,16.14,13.25,0.0961,0.0861,0.1579,0.214,normalized_coordinate_per_second,0.477,100.0
4,242,262,280,9.92,10.84,11.64,1.72,0.057,0.4041,0.92,0.8,174.9,162.1,175.9,162.1,2.2,2.2,varus,10.11,0.19,11.0,descent,7.74,-7.74,valgus,10.84,0.92,53.5,descent,neutral,valgus,-1.78,-7.74,1.78,7.74,-1.83,-7.74,2.2,0.33,2.2,7.74,0.059,0.0671,0.128,0.0924,normalized_coordinate_per_second,0.458,100.0
5,294,310,329,12.31,13.05,13.94,1.63,0.068,0.4046,0.74,0.89,173.2,164.6,179.3,165.4,2.93,2.93,varus,12.48,0.17,10.3,descent,6.59,-6.59,valgus,13.02,0.71,43.4,descent,neutral,valgus,-0.29,-6.26,0.29,6.26,-0.32,-6.59,2.93,0.77,2.93,6.59,0.0867,0.0712,0.166,0.1364,normalized_coordinate_per_second,0.469,100.0
6,347,363,383,14.78,15.51,16.45,1.67,0.071,0.4048,0.73,0.94,173.3,164.1,179.9,164.7,2.91,2.91,varus,14.98,0.2,11.8,descent,6.81,-6.81,valgus,15.76,0.98,58.8,ascent,neutral,valgus,0.03,-6.58,0.03,6.58,-0.62,-6.81,2.91,0.59,2.91,6.81,0.0931,0.0727,0.1516,0.1334,normalized_coordinate_per_second,0.473,100.0
7,404,415,428,17.29,17.77,18.42,1.13,0.074,0.4048,0.48,0.65,150.2,156.5,150.5,158.4,13.05,13.05,varus,17.87,0.58,51.4,ascent,10.34,10.34,varus,17.87,0.58,51.4,ascent,varus,varus,12.88,9.46,12.88,9.46,1.22,-0.09,13.05,10.34,13.05,10.34,0.1431,0.1085,0.2165,0.1992,normalized_coordinate_per_second,0.476,100.0
8,452,491,505,19.43,21.01,21.57,2.14,0.091,0.4058,1.58,0.56,145.1,152.3,145.5,152.3,15.63,15.63,varus,21.15,1.72,80.6,ascent,12.14,12.14,varus,20.93,1.5,70.0,descent,varus,varus,15.26,12.14,15.26,12.14,1.2,0.13,15.63,12.14,15.63,12.14,0.0554,0.1578,0.1259,0.2494,normalized_coordinate_per_second,0.492,100.0
9,530,570,581,22.53,24.14,24.68,2.15,0.098,0.4061,1.61,0.54,143.0,153.1,143.3,153.1,16.61,16.61,varus,24.18,1.65,76.6,ascent,11.77,11.77,varus,24.14,1.61,74.9,ascent,varus,varus,16.48,11.77,16.48,11.77,1.5,0.43,16.61,11.77,16.61,11.77,0.0582,0.172,0.0948,0.261,normalized_coordinate_per_second,0.499,100.0
