frame,time_s,left_fppa,right_fppa,pelvis_y,visibility_check,left_alignment,right_alignment,left_alignment_index,right_alignment_index,left_signed_deviation_percent,right_signed_deviation_percent,left_knee_deviation_percent,right_knee_deviation_percent,pelvis_velocity
14,0.5868535041809082,179.57932820978442,178.12476407214342,0.40281420946121216,OK,neutral,neutral,-0.001822248144925714,-0.008157426249240462,-0.1822248144925714,-0.8157426249240463,0.1822248144925714,0.8157426249240463,0.000704580833652102
15,0.620441198348999,179.61644466602812,178.1260460724218,0.4028244614601135,OK,neutral,neutral,-0.0016611165717275258,-0.0081517921303022,-0.16611165717275259,-0.8151792130302199,0.16611165717275259,0.8151792130302199,-0.0007802443034785611
16,0.6558222770690918,179.63916911288703,178.12724055257104,0.402834415435791,OK,neutral,neutral,-0.0015624329785294475,-0.008146549187099622,-0.15624329785294475,-0.8146549187099622,0.15624329785294475,0.8146549187099622,-0.0020648919589261183
17,0.7163934707641602,179.56545886758784,178.09808848919084,0.4028596878051758,OK,neutral,neutral,-0.0018821659774519459,-0.008273861751190428,-0.18821659774519459,-0.8273861751190428,0.18821659774519459,0.8273861751190428,-0.002363046539855418
18,0.7476813793182373,179.51936431162673,178.06647071771442,0.402876615524292,OK,neutral,neutral,-0.00208229948342964,-0.00841179843146563,-0.20822994834296402,-0.841179843146563,0.20822994834296402,0.841179843146563,-0.002080018707932396
19,0.7927367687225342,179.41805134253454,178.04016376557038,0.40239909291267395,OK,neutral,neutral,-0.002521765023768733,-0.008525905772797137,-0.25217650237687333,-0.8525905772797138,0.25217650237687333,0.8525905772797138,-0.002988310548504458
20,0.8115534782409668,179.35298051554952,178.02357744457115,0.40205422043800354,OK,neutral,neutral,-0.0028041521787952215,-0.008597833387812054,-0.28041521787952217,-0.8597833387812054,0.28041521787952217,0.8597833387812054,-0.0032000737746153973
21,0.8450748920440674,179.435989163361,177.96298740089537,0.40224580466747284,OK,neutral,neutral,-0.0024456594196746637,-0.008860814945875334,-0.24456594196746637,-0.8860814945875335,0.24456594196746637,0.8860814945875335,-0.002120062470839734
22,0.8901693820953369,179.48137007791533,177.90788708884966,0.40240246057510376,OK,neutral,neutral,-0.0022499545099025613,-0.009100151525243861,-0.22499545099025614,-0.9100151525243861,0.22499545099025614,0.9100151525243861,-0.0009873965031044207
23,0.9261476993560791,179.4288261834412,177.93020242965883,0.4023500233888626,OK,neutral,neutral,-0.0024777941656470115,-0.009002934942217157,-0.24777941656470115,-0.9002934942217158,0.24777941656470115,0.9002934942217158,5.50563866670295e-05
24,0.9833528995513916,179.3937616269344,177.94264077439942,0.4023083746433258,OK,neutral,neutral,-0.002629890362029677,-0.008948764834897555,-0.2629890362029677,-0.8948764834897556,0.2629890362029677,0.8948764834897556,0.00020767698929358147
25,1.032050609588623,179.29928421745456,177.9329400194441,0.40230482816696167,OK,neutral,neutral,-0.0030406098567124875,-0.00899141910645252,-0.30406098567124873,-0.899141910645252,0.30406098567124873,0.899141910645252,-0.0008717126727342261
26,1.0651795864105225,179.46069612871028,178.11910001294916,0.40231598913669586,OK,neutral,neutral,-0.0023391643232286556,-0.008180769393599612,-0.23391643232286555,-0.8180769393599612,0.23391643232286555,0.8180769393599612,-0.0010292551438597641
27,1.1046099662780762,179.58076809624473,178.25431482152246,0.4023214131593704,OK,neutral,neutral,-0.0018178544230519605,-0.007592063437463007,-0.18178544230519605,-0.7592063437463007,0.18178544230519605,0.7592063437463007,-0.00048055745514208326
28,1.1433355808258057,179.64181100729655,178.25383686312026,0.4021832346916199,OK,neutral,neutral,-0.0015551813727815388,-0.007595030288531787,-0.1555181372781539,-0.7595030288531787,0.1555181372781539,0.7595030288531787,-0.00032157680239475184
29,1.1816706657409668,179.66950684391753,178.2521934452553,0.40209174156188965,OK,neutral,neutral,-0.0014358792138209303,-0.0076028846254585555,-0.14358792138209303,-0.7602884625458556,0.14358792138209303,0.7602884625458556,-0.0003262924174376458
30,1.2298765182495117,179.71202913397872,178.24441895795078,0.4021679759025574,OK,neutral,neutral,-0.0012508137974423272,-0.007637000289128726,-0.12508137974423272,-0.7637000289128726,0.12508137974423272,0.7637000289128726,-0.0006505165448524863
31,1.2635202407836914,179.7240878519882,178.23688750357852,0.4022257626056671,OK,neutral,neutral,-0.0011981399911358938,-0.007669951109109173,-0.11981399911358938,-0.7669951109109172,0.11981399911358938,0.7669951109109172,-0.0006315544019734887
32,1.3154051303863525,179.71129285188982,178.3459772968763,0.40221406519412994,OK,neutral,neutral,-0.0012536853309746904,-0.007196947274740281,-0.12536853309746904,-0.7196947274740282,0.12536853309746904,0.7196947274740282,-0.00013050422369165204
33,1.3624992370605469,179.69470308097314,178.41519589525237,0.40221095085144043,OK,neutral,neutral,-0.001325720441162981,-0.006896587328006258,-0.1325720441162981,-0.6896587328006257,0.1325720441162981,0.6896587328006257,-9.071804086957513e-05
34,1.4037258625030518,179.8036480985531,178.42218112049787,0.4021124541759491,OK,neutral,neutral,-0.0008525886860311045,-0.00686604511154158,-0.08525886860311045,-0.686604511154158,0.08525886860311045,0.686604511154158,-0.00016625646236079206
35,1.4523937702178955,179.7486122433927,178.38102647976513,0.40209709107875824,OK,neutral,neutral,-0.0010917009925760657,-0.0070451852785967375,-0.10917009925760657,-0.7045185278596737,0.10917009925760657,0.7045185278596737,-4.689866282081567e-05
36,1.4888770580291748,179.71532970418,178.35601902974355,0.40208064019680023,OK,neutral,neutral,-0.0012363054048087627,-0.0071540525495547855,-0.12363054048087627,-0.7154052549554786,0.12363054048087627,0.7154052549554786,0.00018130671676619414
37,1.5212359428405762,179.83650792594253,178.3434504504642,0.40212738513946533,OK,neutral,neutral,-0.0007095004644489193,-0.007208407975283366,-0.07095004644489193,-0.7208407975283366,0.07095004644489193,0.7208407975283366,0.0004628134014206253
38,1.5539743900299072,179.9234541230537,178.33424576942494,0.40215882658958435,OK,neutral,neutral,-0.00033203842637033075,-0.0072482418700784,-0.033203842637033076,-0.72482418700784,0.033203842637033076,0.72482418700784,0.0005839975834973643
39,1.5950791835784912,179.96092892135235,178.3591599318464,0.40223072469234467,OK,neutral,neutral,-0.00016937481433045362,-0.007138749152191676,-0.01693748143304536,-0.7138749152191676,0.01693748143304536,0.7138749152191676,0.000514523887468421
40,1.6330411434173584,179.9893583903124,178.37719847146437,0.40227533876895905,OK,neutral,neutral,-4.6114155440594335e-05,-0.007059574930583888,-0.004611415544059434,-0.7059574930583887,0.004611415544059434,0.7059574930583887,0.0003948165287930294
41,1.6698977947235107,179.7006205588605,178.27246414522494,0.4022599160671234,OK,neutral,neutral,0.0012968212606902126,-0.007516597066385678,0.12968212606902124,-0.7516597066385678,0.12968212606902124,0.7516597066385678,0.00014745919697034537
42,1.7100720405578613,179.51035281844378,178.18996487607046,0.40224364399909973,OK,neutral,neutral,0.0021204583056300317,-0.007876626060381454,0.21204583056300316,-0.7876626060381454,0.21204583056300316,0.7876626060381454,-0.00011493078118141042
43,1.7590136528015137,179.40932398010796,178.14064839526299,0.40221863985061646,OK,neutral,neutral,0.0025597142847948863,-0.008090839921710849,0.2559714284794886,-0.8090839921710848,0.2559714284794886,0.8090839921710848,-0.0001466129468115085
44,1.7932238578796387,179.35752171173763,178.10330012684133,0.40219806134700775,OK,neutral,neutral,0.0027852419621538812,-0.008253083042801321,0.2785241962153881,-0.8253083042801321,0.2785241962153881,0.8253083042801321,-0.0002922943758987273
45,1.835517168045044,179.50358837750207,178.1041505503773,0.40216152369976044,OK,neutral,neutral,0.0021521697990622883,-0.00824944942627904,0.21521697990622884,-0.8249449426279041,0.21521697990622884,0.8249449426279041,-0.0010529590557020185
46,1.864532232284546,179.61805951562206,178.10336430399235,0.4021393805742264,OK,neutral,neutral,0.0016559944290971493,-0.008252956765895336,0.16559944290971493,-0.8252956765895335,0.16559944290971493,0.8252956765895335,-0.0011514237955501105
47,1.9382514953613281,179.7100631953093,178.1104637654113,0.40226031839847565,OK,neutral,neutral,0.001257363290449665,-0.008222045021136522,0.1257363290449665,-0.8222045021136523,0.1257363290449665,0.8222045021136523,-0.0006053951062314766
48,2.005821943283081,179.77152090171265,178.00444325392215,0.40208935737609863,OK,neutral,neutral,0.000990955713860923,-0.008687013767762363,0.0990955713860923,-0.8687013767762363,0.0990955713860923,0.8687013767762363,-0.0007893580986131354
49,2.0459182262420654,179.83039693015124,177.95649289418648,0.40196333825588226,OK,neutral,neutral,0.0007356138099909005,-0.008897834358986303,0.07356138099909006,-0.8897834358986303,0.07356138099909006,0.8897834358986303,-0.000746945934214871
50,2.106489658355713,179.85832392887474,177.95091602747704,0.4019242823123932,OK,neutral,neutral,0.000614626030794759,-0.008922464280461761,0.061462603079475896,-0.8922464280461762,0.061462603079475896,0.8922464280461762,-0.0010900549452745878
51,2.1426799297332764,179.88301708385532,177.94736179299076,0.40189655125141144,OK,neutral,neutral,0.0005075834820582931,-0.008938187891652674,0.05075834820582931,-0.8938187891652674,0.05075834820582931,0.8938187891652674,-0.0009453164914505763
52,2.183147668838501,179.66620369419533,178.0930426506637,0.40191467106342316,OK,neutral,neutral,-0.0014494848102638799,-0.008304576199096506,-0.144948481026388,-0.8304576199096506,0.144948481026388,0.8304576199096506,-0.00023127255705035488
53,2.2565178871154785,179.9283806593908,178.62642120091616,0.4019075781106949,OK,neutral,neutral,0.00031085530753410047,-0.005977469835384843,0.031085530753410046,-0.5977469835384843,0.031085530753410046,0.5977469835384843,0.004377518770420252
54,2.2882227897644043,179.66903808331384,178.98175520045632,0.4019019305706024,OK,neutral,neutral,0.001436164064390922,-0.004428874391953915,0.1436164064390922,-0.4428874391953915,0.1436164064390922,0.4428874391953915,0.006406879829753631
55,2.3341355323791504,178.63294007337583,179.78833791726942,0.4019702523946762,OK,neutral,neutral,0.005930882434003562,-0.0009205601011611194,0.5930882434003563,-0.09205601011611193,0.5930882434003563,0.09205601011611193,0.011516582647033147
56,2.367459774017334,178.0675366113219,179.74847163969952,0.40202072262763977,OK,neutral,neutral,0.008383963737321804,0.0010938891054075859,0.8383963737321803,0.10938891054075858,0.8383963737321803,0.10938891054075858,0.01398027367564092
57,2.4168550968170166,176.670108900126,177.78683654338082,0.40330490469932556,OK,neutral,neutral,0.01445418990017426,0.009624629580527342,1.4454189900174261,0.9624629580527342,1.4454189900174261,0.9624629580527342,0.0432935080721748
58,2.4521713256835938,176.07306152505487,176.94942222000995,0.40404222905635834,OK,neutral,neutral,0.017053627654133888,0.013267335161521485,1.7053627654133887,1.3267335161521485,1.7053627654133887,1.3267335161521485,0.06597781696945226
59,2.5022027492523193,172.2663473838186,175.19327499678394,0.4054206609725952,OK,varus,varus,0.03366704798714872,0.020920761307228804,3.3667047987148724,2.0920761307228806,3.3667047987148724,2.0920761307228806,0.06389969396199158
60,2.5651912689208984,170.7034580844225,174.4287779981818,0.40620361268520355,OK,varus,varus,0.04052172751310168,0.02425982741086165,4.052172751310168,2.425982741086165,4.052172751310168,2.425982741086165,0.14472112453017694
61,2.590507745742798,164.23036135821192,170.70423881543806,0.418060764670372,OK,varus,varus,0.06900650143970535,0.04062854197161667,6.900650143970536,4.062854197161667,6.900650143970536,4.062854197161667,0.14839811211277265
62,2.6539509296417236,160.1675893921679,166.62045383943467,0.4253816157579422,OK,varus,varus,0.0870484269732234,0.05863235426410783,8.70484269732234,5.863235426410783,8.70484269732234,5.863235426410783,0.11509300776769216
63,2.689775228500366,158.90899374536505,165.07901939231965,0.42855894565582275,OK,varus,varus,0.09261054553081546,0.06543219533851834,9.261054553081546,6.5432195338518335,9.261054553081546,6.5432195338518335,0.1282039935661663
64,2.730973958969116,156.62885207473855,162.40240603924175,0.43497270345687866,OK,varus,varus,0.10304952812350494,0.07734250972304768,10.304952812350495,7.734250972304768,10.304952812350495,7.734250972304768,0.10721239498048618
65,2.766850709915161,155.91899537390168,161.59228209828484,0.4362261891365051,OK,varus,varus,0.10623275661043563,0.08090937016877142,10.623275661043563,8.090937016877142,10.623275661043563,8.090937016877142,0.0821699943209282
66,2.8090660572052,153.16721141821958,158.35833077462246,0.4403180778026581,OK,varus,varus,0.11898695192119207,0.09547641475308058,11.898695192119208,9.547641475308058,11.898695192119208,9.547641475308058,0.07966418261884733
67,2.837890148162842,152.7057808155724,157.46986294955096,0.4395425468683243,OK,varus,varus,0.12095011970807856,0.09944969955517638,12.095011970807857,9.944969955517639,12.095011970807857,9.944969955517639,0.07177899894154471
68,2.880079746246338,150.90982429419185,155.85209414492886,0.44315075874328613,OK,varus,varus,0.12879579752087664,0.10674072795869367,12.879579752087663,10.674072795869368,12.879579752087663,10.674072795869368,0.06224976117035652
